/n/home03/calmiller/DSMC_Simulations/10_2_21_atoms/flow_1.00000_T2_2.80000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
813858 2.315421e-02 -1.537799e-03 6.667168e-02 1.639159e-01 1.464251e-02 7.436999e-02 2.949296e+01 3.390165e+00 1.612981e+00 119 4.079982e-03
130089 1.255558e-03 2.432585e-03 1.214762e-01 -9.895369e-02 6.359694e-02 8.403536e-01 -5.413808e+00 3.304406e+00 3.883738e+01 105 4.517556e-03
506622 2.753259e-03 5.115904e-03 1.103267e-01 2.831891e-02 1.592240e-02 1.548241e-01 1.219592e+01 5.155163e+00 2.122719e+01 52 2.962246e-03
16494 -7.915184e-03 -7.269417e-03 1.275298e-01 -2.745921e+00 -1.136662e+00 6.615986e+00 -1.569092e+01 -6.472304e+00 3.718394e+01 43 2.911750e-03
71885 2.787747e-03 -2.020057e-04 1.216384e-01 1.668972e-01 9.507053e-03 1.254630e+00 7.962914e+00 4.711028e-01 5.497502e+01 30 2.034204e-03
259809 4.701016e-03 -4.191162e-03 1.247197e-01 1.092753e+00 -1.205261e+00 1.316143e+01 3.527413e+00 -3.893812e+00 4.226440e+01 27 2.283615e-03
135619 4.360514e-04 -6.449867e-03 1.156435e-01 -3.129118e-01 -7.301142e-01 1.680327e+00 -9.914095e+00 -2.289621e+01 4.950543e+01 29 1.794719e-03
136503 3.639357e-03 3.230015e-03 1.173567e-01 4.859561e-01 1.815348e-02 1.135405e+00 2.051003e+01 6.346052e-01 4.329147e+01 35 2.045041e-03
-825631 2.177343e-03 6.420813e-04 1.135542e-01 -1.569551e-02 8.342206e-03 2.136500e-01 -1.131994e+01 4.876946e+00 6.339658e+01 66 4.785578e-03
825631 -1.569551e-02 8.342206e-03 2.136500e-01 -7.100968e+00 3.306053e+00 7.365578e+01 -5.695087e+00 2.650674e+00 5.903222e+01 66 4.785578e-03
200906 -2.055541e-02 -1.806638e-02 6.682160e-02 -1.114704e-01 -9.847872e-02 8.305409e-02 -3.022146e+01 -2.673023e+01 5.395914e+00 141 5.326748e-03
26310 2.180463e-02 -5.270551e-03 6.656697e-02 3.993654e-02 1.999655e-02 6.635713e-02 8.046332e+00 1.121269e+01 -9.311930e-02 133 6.052973e-03
827506 5.972446e-03 -2.215284e-03 1.138546e-01 4.415353e-02 -5.428102e-02 2.596968e-01 6.581512e+00 -8.974895e+00 2.513972e+01 55 3.191369e-03
328023 2.388729e-03 6.620584e-03 1.173303e-01 8.465313e-01 5.778215e-01 4.988288e+00 8.342133e+00 5.644821e+00 4.813662e+01 40 2.303549e-03
453941 9.440283e-03 -1.736543e-02 6.606500e-02 1.541601e-02 -4.326871e-02 6.877091e-02 5.536351e+00 -2.399870e+01 2.506955e+00 103 3.528611e-03
-86624 4.084712e-03 -2.589141e-03 1.097625e-01 6.513607e-03 -2.614958e-03 1.193831e-01 9.226088e+00 -9.806646e-02 3.654338e+01 29 1.918852e-03
86624 6.513607e-03 -2.614958e-03 1.193831e-01 3.156448e-01 3.919538e-02 9.216936e-01 1.489649e+01 2.014767e+00 3.866194e+01 29 1.918852e-03
402562 3.233066e-03 -4.144973e-03 1.102224e-01 1.050588e-01 -8.108226e-02 2.435336e-01 2.178719e+01 -1.646192e+01 2.852399e+01 81 3.822376e-03
903085 -1.174340e-02 1.861954e-02 6.583920e-02 -1.727624e-02 3.114767e-02 6.613812e-02 -8.371722e+00 1.895628e+01 4.522998e-01 47 2.872155e-03
404141 -1.000915e-02 -1.577369e-02 6.682339e-02 -2.865886e-02 -3.379268e-02 6.934750e-02 -3.783572e+01 -3.655615e+01 5.120793e+00 29 1.371200e-03
-54894 -1.221744e-03 -2.627466e-03 1.183424e-01 7.487791e-05 -1.919600e-02 1.416616e-01 1.092645e+00 -1.396206e+01 1.965076e+01 38 4.394260e-03
54894 7.487791e-05 -1.919600e-02 1.416616e-01 6.410905e-01 -7.827583e+00 1.055847e+01 1.234832e+00 -1.504183e+01 2.006661e+01 38 4.394260e-03
-972469 2.439327e-03 -3.486664e-03 1.097019e-01 5.412793e-03 -3.523372e-03 1.294104e-01 7.051351e+00 -8.704892e-02 4.673718e+01 47 2.484039e-03
972469 5.412793e-03 -3.523372e-03 1.294104e-01 1.434431e+00 2.306525e-01 4.487343e+00 1.668378e+01 2.734002e+00 5.087884e+01 47 2.484039e-03
97582 -6.853233e-04 1.825457e-03 1.197478e-01 1.814607e-01 3.793890e-01 1.716150e+00 6.391200e+00 1.324808e+01 5.601510e+01 45 2.303282e-03
-160498 -7.704709e-04 -3.742385e-03 1.281360e-01 -5.254146e-04 -7.481092e-03 1.484693e-01 4.553485e-01 -6.947036e+00 3.778216e+01 39 3.240243e-03
