/n/home03/calmiller/DSMC_Simulations/10_2_21_atoms/flow_2.00000_T2_0.70000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
313464 -2.340713e-02 -1.909098e-04 6.735557e-02 -5.232975e-02 7.821490e-03 7.321764e-02 -2.100544e+01 5.819113e+00 4.257412e+00 59 2.237388e-03
380114 1.106288e-03 1.737905e-03 1.128528e-01 5.826079e-03 -6.592328e-04 1.913954e-01 1.476746e+00 -7.500252e-01 2.457470e+01 101 6.646876e-03
380114 5.826079e-03 -6.592328e-04 1.913954e-01 8.787182e-03 -4.289559e-04 2.573615e-01 1.640518e+00 1.275787e-01 3.654674e+01 102 8.451856e-03
380114 8.787182e-03 -4.289559e-04 2.573615e-01 8.817710e-01 4.324564e-02 6.422947e+01 6.045610e-01 3.024564e-02 4.430213e+01 102 8.451856e-03
324183 2.280406e-03 -2.047428e-03 1.172261e-01 3.517630e-02 9.444806e-02 4.519086e-01 4.885981e+00 1.433234e+01 4.970993e+01 45 1.686917e-03
575347 -4.512731e-04 -4.711480e-03 1.124787e-01 -2.507822e-03 -2.619354e-03 1.513248e-01 -1.958638e+00 1.992521e+00 3.699658e+01 60 3.189460e-03
575347 -2.507822e-03 -2.619354e-03 1.513248e-01 1.526222e-01 1.685544e-01 3.062449e+00 1.963869e+00 2.166974e+00 3.685339e+01 60 3.189460e-03
767515 5.731250e-05 -1.959914e-03 1.088708e-01 -4.409379e-04 -2.225286e-03 1.126601e-01 -7.370546e+00 -3.925599e+00 5.605428e+01 30 1.234205e-03
767515 -4.409379e-04 -2.225286e-03 1.126601e-01 -3.650294e-03 -6.928897e-03 1.446956e-01 -3.440776e+00 -5.042779e+00 3.434548e+01 31 2.166947e-03
767515 -3.650294e-03 -6.928897e-03 1.446956e-01 -1.465110e+00 -3.685546e+00 8.251557e+00 -6.675914e+00 -1.680383e+01 3.703195e+01 31 2.166947e-03
206431 1.157408e-02 -2.232385e-02 6.596479e-02 1.019127e-01 -9.332778e-02 4.740671e-02 2.684037e+01 -2.109588e+01 -4.993951e+00 102 3.061593e-03
644680 -2.536391e-02 -9.989797e-03 6.607209e-02 -3.792310e-02 6.695874e-03 6.670276e-02 -2.705288e+01 3.594146e+01 1.358481e+00 77 2.710898e-03
