idx x y z xnext ynext znext vx vy vz collides time
250004 3.899155e-03 -2.739305e-02 7.331795e-02 -1.149940e-03 -5.334664e-02 8.037407e-02 -1.613945e+00 -8.296077e+00 2.255493e+00 57 2.971967e-03
1250038 1.742303e-02 1.228489e-02 6.653606e-02 2.435937e-02 1.799444e-02 6.824025e-02 2.688365e+01 2.212886e+01 6.605024e+00 83 2.253139e-03
-1416771 -3.028649e-03 -3.139689e-04 1.063034e-01 -2.983531e-03 -1.821801e-04 1.089584e-01 5.505718e-01 1.608205e+00 3.239902e+01 90 2.253377e-03
-1416771 -2.983531e-03 -1.821801e-04 1.089584e-01 -2.974320e-03 -2.235420e-04 1.092181e-01 1.034918e+00 -4.647462e+00 2.917958e+01 91 2.262277e-03
-1416771 -2.974320e-03 -2.235420e-04 1.092181e-01 -3.295986e-03 -5.358434e-04 1.114304e-01 -4.228294e+00 -4.105198e+00 2.907994e+01 92 2.338352e-03
-1416771 -3.295986e-03 -5.358434e-04 1.114304e-01 -4.224981e-03 -1.230840e-03 1.176021e-01 -4.966779e+00 -3.715727e+00 3.299669e+01 93 2.525393e-03
-1416771 -4.224981e-03 -1.230840e-03 1.176021e-01 -7.042861e-03 -3.727522e-03 1.376142e-01 -4.670497e+00 -4.138128e+00 3.316894e+01 94 3.128730e-03
1416771 -7.042861e-03 -3.727522e-03 1.376142e-01 -1.297407e-01 -1.370037e-01 8.593999e-01 -5.965235e+00 -6.479520e+00 3.509124e+01 94 3.128730e-03
-250112 -2.175779e-03 -2.195530e-03 1.088543e-01 -2.565716e-03 -1.770996e-03 1.097779e-01 -4.847065e+00 5.277127e+00 1.148187e+01 125 3.106417e-03
-250112 -2.619945e-03 -1.637290e-03 1.099336e-01 -2.831817e-03 -1.378938e-03 1.101705e-01 -6.126068e+00 7.469978e+00 6.850200e+00 127 3.155508e-03
-250112 -2.831817e-03 -1.378938e-03 1.101705e-01 -4.957883e-03 5.658756e-04 1.121115e-01 -9.739697e+00 8.909369e+00 8.891956e+00 128 3.373797e-03
-250112 -4.957883e-03 5.658756e-04 1.121115e-01 -5.352151e-03 1.041230e-03 1.131612e-01 -4.842153e+00 5.837998e+00 1.289118e+01 129 3.455221e-03
-250112 -5.352151e-03 1.041230e-03 1.131612e-01 -6.988201e-03 3.281141e-03 1.176663e-01 -5.339379e+00 7.310127e+00 1.470291e+01 130 3.761633e-03
250112 -6.988201e-03 3.281141e-03 1.176663e-01 -5.198094e-02 3.516302e-02 2.109735e-01 -7.219962e+00 5.116070e+00 1.497295e+01 130 3.761633e-03
-1000126 3.737194e-03 2.116081e-03 1.081768e-01 5.597014e-03 1.854575e-03 1.106274e-01 1.285200e+01 -1.807099e+00 1.693446e+01 89 2.105379e-03
-1000126 5.597014e-03 1.854575e-03 1.106274e-01 6.885065e-03 1.934621e-03 1.121931e-01 1.632652e+01 1.014622e+00 1.984588e+01 90 2.184272e-03
-1000126 6.885065e-03 1.934621e-03 1.121931e-01 2.498139e-02 6.891708e-03 1.382281e-01 1.873790e+01 5.132832e+00 2.695807e+01 91 3.150033e-03
1000126 2.498139e-02 6.891708e-03 1.382281e-01 2.404858e+00 7.493019e-01 3.634651e+00 1.826845e+01 5.698901e+00 2.683930e+01 91 3.150033e-03
