idx x y z xnext ynext znext vx vy vz collides time
251249 -1.688109e-03 -1.562146e-02 6.644509e-02 -4.496430e-03 -3.140608e-02 6.555558e-02 -1.103231e+01 -6.200885e+01 -3.494372e+00 506 4.196416e-03
-585320 1.542546e-03 -3.930708e-03 1.096493e-01 4.131521e-03 -1.751415e-05 1.231487e-01 1.034521e+01 1.563662e+01 5.394185e+01 610 6.476991e-03
585320 4.131521e-03 -1.751415e-05 1.231487e-01 7.824222e-02 5.522102e-02 4.235054e-01 1.360251e+01 1.013866e+01 5.512842e+01 610 6.476991e-03
5615 2.755311e-02 7.454922e-03 6.534402e-02 5.519374e-02 2.435757e-02 6.918335e-02 3.119309e+01 1.907503e+01 4.332779e+00 668 8.462815e-03
920272 1.221366e-02 1.964988e-02 6.649373e-02 2.040827e-02 6.163131e-02 7.545743e-02 1.055784e+01 5.408843e+01 1.154875e+01 428 4.533634e-03
921117 -1.819097e-02 -1.843407e-02 6.653309e-02 -3.450494e-02 -2.383883e-02 7.365111e-02 -3.083515e+01 -1.021558e+01 1.345382e+01 334 3.035907e-03
1255485 1.597829e-03 -2.446944e-02 6.638727e-02 1.240368e-06 -3.030205e-02 6.570101e-02 -1.914643e+01 -6.994514e+01 -8.229618e+00 444 4.252222e-03
1338904 1.842933e-02 -1.569531e-02 6.757908e-02 4.787876e-02 -3.226361e-02 7.233313e-02 4.332487e+01 -2.437465e+01 6.993975e+00 445 4.758628e-03
255600 2.058842e-02 -1.745357e-02 6.536933e-02 9.941418e-02 -1.535788e-01 5.611848e-02 2.877251e+01 -4.968763e+01 -3.172772e+00 380 3.328483e-03
1839029 1.613111e-03 -2.642382e-02 6.618280e-02 5.159937e-03 -4.791786e-02 6.795360e-02 8.685430e+00 -5.263437e+01 4.336334e+00 656 5.757348e-03
589603 1.443882e-02 -2.270324e-02 6.692411e-02 5.642268e-02 -8.789752e-02 7.369219e-02 3.664631e+01 -5.690591e+01 5.907625e+00 974 7.830790e-03
1840943 2.673846e-02 1.552513e-03 6.906270e-02 1.840567e-01 1.060203e-02 1.712817e-01 3.021298e+01 1.737960e+00 1.963116e+01 264 3.096145e-03
13674 -2.723890e-02 1.179382e-03 6.779980e-02 -4.106353e-02 -3.317534e-03 6.657880e-02 -2.555881e+01 -8.313845e+00 -2.257364e+00 686 6.479748e-03
925825 -2.030863e-02 -1.255868e-02 6.781817e-02 -3.752042e-02 -2.552548e-02 8.462280e-02 -2.295131e+01 -1.729076e+01 2.240837e+01 412 4.505097e-03
259265 -3.851104e-03 -4.912391e-03 1.088631e-01 -2.693491e-03 -3.406531e-02 1.774303e-01 3.690583e-01 -9.294233e+00 2.185989e+01 465 6.067912e-03
-1842971 5.018514e-04 -4.724081e-03 1.093669e-01 -8.541314e-04 -7.622421e-03 1.117555e-01 -9.234773e+00 -1.973883e+01 1.626780e+01 853 9.243878e-03
1842971 -8.541314e-04 -7.622421e-03 1.117555e-01 -4.917486e-02 -1.015170e-01 1.867745e-01 -1.034536e+01 -2.010263e+01 1.606139e+01 853 9.243878e-03
847027 1.361005e-02 -2.226955e-02 6.630352e-02 2.987777e-02 -4.152231e-02 5.413563e-02 1.626372e+01 -1.924801e+01 -9.738448e+00 1465 1.157188e-02
-98203 -3.057864e-03 -3.968177e-03 1.097022e-01 -2.599239e-05 -7.836856e-03 1.145552e-01 1.149711e+01 -1.467035e+01 1.840288e+01 752 8.974709e-03
98203 -2.599239e-05 -7.836856e-03 1.145552e-01 3.017494e-02 -4.379464e-02 1.559913e-01 1.255315e+01 -1.494601e+01 1.722309e+01 752 8.974709e-03
433191 1.525224e-02 2.274663e-02 6.557821e-02 1.898201e-02 8.082417e-02 7.538480e-02 2.878295e+00 4.481898e+01 7.567832e+00 806 7.235127e-03
-1517611 -2.288167e-03 -2.930841e-04 1.111471e-01 4.915887e-03 -5.530567e-03 1.247198e-01 1.359109e+01 -9.880977e+00 2.560609e+01 847 9.329167e-03
1517611 4.915887e-03 -5.530567e-03 1.247198e-01 4.935099e-02 -3.296515e-02 2.397613e-01 1.011759e+01 -6.246681e+00 2.619424e+01 847 9.329167e-03
1101631 1.653025e-02 -1.516770e-02 6.720048e-02 2.300808e-02 -2.211266e-02 6.772583e-02 3.482123e+01 -3.733222e+01 2.823941e+00 497 4.276280e-03
1686774 1.858517e-02 -1.387861e-02 6.539333e-02 4.742616e-02 -2.538382e-02 6.186789e-02 4.460658e+01 -1.779440e+01 -4.514304e+00 441 3.686873e-03
354124 -1.451406e-02 2.176180e-02 6.633933e-02 -6.379125e-02 9.824455e-02 6.978566e-02 -2.836283e+01 4.402173e+01 1.983630e+00 506 4.839683e-03
604715 2.413990e-02 -6.993439e-03 6.519487e-02 8.999334e-02 -2.302684e-02 5.910314e-02 5.660316e+01 -1.378123e+01 -5.055759e+00 559 4.939716e-03
-105679 9.151538e-04 -7.918701e-04 1.092199e-01 1.419391e-03 -3.518286e-03 1.112684e-01 4.057715e+00 -2.194010e+01 1.648472e+01 442 4.015720e-03
105679 3.157338e-03 -1.413423e-02 1.194597e-01 1.025215e-01 -2.916076e-01 4.277792e-01 6.226339e+00 -1.738698e+01 1.931985e+01 443 4.499959e-03
106128 1.500087e-02 -1.735529e-02 6.745554e-02 3.167616e-02 -4.231954e-02 7.208941e-02 3.421184e+01 -5.121789e+01 9.507093e+00 1059 8.579999e-03
1776929 1.821799e-02 1.173960e-02 6.529393e-02 2.886405e-02 1.309731e-02 7.062214e-02 2.461274e+01 3.138908e+00 1.231836e+01 218 2.037284e-03
-1860014 6.841799e-04 -3.992287e-03 1.089293e-01 1.619757e-03 -4.237784e-03 1.107368e-01 1.311417e+01 -3.441174e+00 2.533649e+01 591 5.994154e-03
-1860014 1.619757e-03 -4.237784e-03 1.107368e-01 1.052889e-02 -7.534657e-03 1.286846e-01 1.257492e+01 -4.653414e+00 2.533270e+01 592 6.702639e-03
1860014 1.052889e-02 -7.534657e-03 1.286846e-01 2.782726e-01 -5.693572e-02 6.511347e-01 1.880462e+01 -3.469617e+00 3.669357e+01 592 6.702639e-03
41490 -3.580181e-03 2.677954e-02 6.701970e-02 -2.450818e-02 6.946710e-02 6.977096e-02 -1.858503e+01 3.790853e+01 2.443250e+00 726 1.066959e-02
1360252 -5.921363e-03 -2.124312e-02 6.654643e-02 -1.263571e-02 -3.296957e-02 7.277634e-02 -1.646886e+01 -2.876246e+01 1.528062e+01 477 4.158034e-03
446148 5.772769e-04 -2.443375e-02 6.548795e-02 -4.172189e-03 -9.277808e-02 6.014642e-02 -3.682353e+00 -5.298868e+01 -3.524310e+00 648 5.209030e-03
1113269 1.743947e-02 -7.788518e-03 6.722917e-02 2.956547e-02 -8.478643e-03 6.765089e-02 5.400615e+01 -3.073642e+00 1.878239e+00 523 4.427123e-03
531654 1.822592e-02 -2.020223e-02 6.543436e-02 1.298718e-01 -1.008970e-01 4.639702e-02 5.905288e+01 -4.268190e+01 -9.705137e+00 187 1.877887e-03
54603 -1.626695e-02 1.747772e-02 6.768383e-02 -2.288358e-02 2.146843e-02 6.561140e-02 -2.835728e+01 1.710321e+01 -8.881931e+00 609 5.875595e-03
703353 -2.779324e-02 1.220420e-03 6.624388e-02 -1.788588e-01 1.098718e-02 1.023908e-01 -3.021602e+01 1.953538e+00 7.230071e+00 524 5.348011e-03
-205384 -4.238158e-03 -6.734361e-04 1.097337e-01 -4.602063e-03 -3.771443e-04 1.105853e-01 -4.372327e+00 3.559955e+00 1.023275e+01 867 1.080403e-02
-205384 -4.925358e-03 -1.613194e-03 1.195651e-01 -1.552466e-02 -1.596694e-02 1.591913e-01 -7.368922e+00 -9.979115e+00 2.754921e+01 871 1.263921e-02
205384 -1.552466e-02 -1.596694e-02 1.591913e-01 -9.255935e-01 -1.164649e+00 2.740355e+00 -1.072269e+01 -1.353410e+01 3.041199e+01 871 1.263921e-02
-1039240 -2.455822e-03 1.517203e-03 1.091572e-01 -2.138947e-03 8.078148e-04 1.107371e-01 5.786202e+00 -1.295360e+01 2.884947e+01 1063 1.118836e-02
-1039240 -2.138947e-03 8.078148e-04 1.107371e-01 -9.891025e-06 -1.901953e-02 1.378978e-01 1.937527e+00 -1.804368e+01 2.471728e+01 1064 1.228722e-02
1039240 -9.891025e-06 -1.901953e-02 1.378978e-01 2.537380e-02 -2.471978e-01 5.981355e-01 1.422128e+00 -1.278375e+01 2.578494e+01 1064 1.228722e-02
210087 -1.361443e-02 2.105452e-02 6.631270e-02 -1.941056e-02 6.262219e-02 5.125545e-02 -5.353212e+00 3.839125e+01 -1.164811e+01 377 3.876487e-03
1961207 -2.263191e-02 7.807160e-03 6.710083e-02 -8.798640e-02 4.390863e-02 6.911619e-02 -4.701147e+01 2.596888e+01 1.449709e+00 685 5.626438e-03
69336 -1.585064e-02 2.027720e-02 6.677944e-02 -4.423296e-02 5.926918e-02 6.980709e-02 -2.763985e+01 3.797197e+01 2.948444e+00 501 5.497898e-03
1962535 1.536370e-02 2.212686e-02 6.590567e-02 5.961552e-02 1.414360e-01 4.224992e-02 1.394858e+01 3.760731e+01 -6.942292e+00 470 4.780285e-03
-463192 3.926693e-03 -2.738168e-03 1.097764e-01 6.087809e-03 -4.686307e-03 1.160685e-01 9.072399e+00 -8.178320e+00 2.641456e+01 553 5.632204e-03
463192 6.087809e-03 -4.686307e-03 1.160685e-01 3.227067e-02 -4.680429e-02 2.333945e-01 6.738530e+00 -1.083966e+01 3.019550e+01 553 5.632204e-03
1295430 -1.094878e-02 -1.947374e-02 6.573066e-02 -2.166846e-02 -2.808407e-02 6.904098e-02 -3.973278e+01 -3.191442e+01 1.226976e+01 501 4.224606e-03
1798144 2.047335e-02 -1.101218e-02 6.655448e-02 2.930852e-02 -1.710615e-02 6.548085e-02 3.071457e+01 -2.118506e+01 -3.732370e+00 521 4.714223e-03
1463441 -2.663680e-02 8.316271e-03 6.649354e-02 -4.935945e-02 2.031211e-02 6.188859e-02 -4.866298e+01 2.569036e+01 -3.850346e+00 1265 1.090906e-02
965087 -2.671739e-02 -2.330692e-03 6.844198e-02 -1.645906e-01 -2.146345e-02 8.526369e-02 -5.832005e+01 -8.093110e+00 7.115541e+00 500 4.376098e-03
-385573 -2.714965e-03 1.426421e-03 1.089518e-01 -2.235299e-03 1.031086e-03 1.104452e-01 4.880052e+00 -4.022075e+00 1.519362e+01 439 4.618520e-03
-385573 -2.462529e-03 1.021253e-03 1.116366e-01 3.484015e-03 2.597606e-02 1.382804e-01 4.284579e+00 1.798034e+01 1.919734e+01 441 6.084694e-03
385573 3.484015e-03 2.597606e-02 1.382804e-01 4.572376e-02 6.390829e-02 2.270254e-01 1.484634e+01 1.333234e+01 3.119190e+01 441 6.084694e-03
302402 2.477929e-02 6.867461e-04 6.598167e-02 9.260163e-02 -3.047394e-03 8.270516e-02 4.704780e+01 -2.590342e+00 1.160095e+01 553 5.269015e-03
-1887703 4.433748e-03 1.267531e-04 1.095434e-01 5.873026e-03 -2.926377e-03 1.140101e-01 1.155293e+01 -2.450717e+01 3.585355e+01 419 4.701275e-03
1887703 5.873026e-03 -2.926377e-03 1.140101e-01 6.883652e-02 -1.516968e-01 3.467383e-01 9.500150e+00 -2.244700e+01 3.511484e+01 419 4.701275e-03
-304285 4.242216e-03 -2.757869e-03 1.094116e-01 6.053688e-03 -2.211399e-03 1.144322e-01 1.481808e+01 4.470201e+00 4.106870e+01 1026 9.460639e-03
304285 6.053688e-03 -2.211399e-03 1.144322e-01 4.645889e-02 1.254728e-02 2.150934e-01 1.557441e+01 5.688814e+00 3.880045e+01 1026 9.460639e-03
1889903 2.540909e-02 1.084281e-02 7.069772e-02 5.272579e-02 1.543668e-02 9.176902e-02 3.368546e+01 5.664904e+00 2.598397e+01 310 3.459219e-03
1555275 -2.447807e-02 -1.516315e-02 6.610575e-02 -2.892931e-02 -1.753038e-02 6.636618e-02 -3.286093e+01 -1.747589e+01 1.922590e+00 402 4.203085e-03
-890146 -3.273475e-03 4.651911e-03 1.096846e-01 -8.288771e-03 1.752244e-02 1.210976e-01 -8.766447e+00 2.249694e+01 1.994940e+01 935 9.356312e-03
890146 -8.288771e-03 1.752244e-02 1.210976e-01 -1.923906e-01 5.657346e-01 5.361128e-01 -8.558188e+00 2.548429e+01 1.929247e+01 935 9.356312e-03
-809952 -2.484501e-03 4.652185e-03 1.098164e-01 -1.292861e-02 2.092650e-02 1.263075e-01 -1.670018e+01 2.602271e+01 2.636943e+01 268 3.560277e-03
809952 -1.292861e-02 2.092650e-02 1.263075e-01 -3.156748e-01 5.586326e-01 6.935724e-01 -1.584429e+01 2.814096e+01 2.968793e+01 268 3.560277e-03
1727158 1.474056e-02 2.135064e-02 6.711534e-02 4.059685e-02 5.045752e-02 6.657786e-02 3.313993e+01 3.730620e+01 -6.888763e-01 1325 1.129114e-02
644041 2.308850e-02 9.845731e-04 6.664124e-02 4.499069e-02 -3.280201e-03 7.494337e-02 3.297466e+01 -6.420797e+00 1.249920e+01 455 4.554361e-03
225567 6.921499e-03 -2.064005e-02 6.651549e-02 1.221369e-02 -4.825047e-02 6.875025e-02 7.268234e+00 -3.791982e+01 3.069190e+00 349 3.230504e-03
-479842 3.554578e-04 3.138675e-03 1.089495e-01 4.639608e-03 3.441995e-03 1.120090e-01 2.325422e+01 1.646408e+00 1.660710e+01 998 8.371175e-03
479842 4.639608e-03 3.441995e-03 1.120090e-01 5.921453e-02 6.777935e-03 1.654314e-01 2.051680e+01 1.254107e+00 2.008352e+01 998 8.371175e-03
813585 2.379507e-02 1.174340e-03 6.684648e-02 3.443572e-02 -4.882239e-03 6.739803e-02 5.142492e+01 -2.927068e+01 2.665570e+00 799 6.926689e-03
