/n/home03/calmiller/DSMC_Simulations/10_7_CaOH/flow_4.00000_gap_0.00270_len_0.02000_T1_2.75000_T2_2.75000_mesh/data
running....
idx x y z xnext ynext znext vx vy vz collides time
812686 -1.649851e-02 -7.613855e-03 1.068165e-01 -2.736497e-01 -1.252516e-01 5.082108e-01 -2.568647e+01 -1.175067e+01 4.009471e+01 3689 1.312855e-02
62739 -1.514170e-02 1.010282e-02 1.272100e-01 -2.743016e-01 2.084359e-01 7.178977e-01 -1.126277e+01 8.619314e+00 2.567057e+01 1556 7.210670e-03
468 -1.160884e-02 4.358028e-03 1.105163e-01 -2.833127e-01 9.021534e-02 6.236802e-01 -2.500527e+01 7.901562e+00 4.722715e+01 2646 1.005220e-02
687905 -2.305375e-02 1.468013e-02 1.634564e-01 -4.924889e-01 6.878778e-01 2.830224e+00 -9.592837e+00 1.375669e+01 5.449499e+01 1994 8.643386e-03
597 1.126477e-02 -1.904467e-03 1.028466e-01 9.133700e-02 -1.819245e-02 1.978127e-01 2.056712e+01 -4.183684e+00 2.439272e+01 1416 5.918286e-03
750464 1.555637e-03 2.108122e-02 2.119633e-01 -6.185973e-01 5.970640e+00 2.426932e+01 -1.140483e+00 1.094145e+01 4.424233e+01 4695 1.962175e-02
125527 -1.158789e-02 2.199510e-02 6.654088e-02 -1.632721e-02 3.630756e-02 7.067938e-02 -1.400135e+01 4.228325e+01 1.222635e+01 1724 6.539544e-03
375536 -1.452375e-02 6.685879e-03 1.333373e-01 -3.553247e-01 3.500694e-01 2.320085e+00 -6.075858e+00 6.121900e+00 3.898572e+01 2725 1.172746e-02
875573 5.982113e-03 -8.147235e-03 1.099461e-01 1.056790e-01 -7.914547e-02 3.666339e-01 1.271345e+01 -9.053767e+00 3.273308e+01 2926 1.264989e-02
313104 -2.623425e-02 -8.226620e-03 2.581198e-01 -9.473172e-01 -4.451552e-01 4.581904e+00 -1.118303e+01 -5.304828e+00 5.249584e+01 1051 7.162978e-03
500683 -6.834742e-03 2.854877e-02 6.632142e-02 -6.648678e-03 3.532858e-02 6.605383e-02 1.237795e+00 4.510295e+01 -1.780153e+00 3398 1.325305e-02
688368 2.238743e-02 -1.165438e-02 1.292303e-01 8.290687e-01 -4.714027e-01 1.558077e+00 2.720684e+01 -1.550587e+01 4.819054e+01 2009 8.112626e-03
500935 2.176210e-02 -1.167544e-02 6.731441e-02 2.683290e-02 -1.781235e-02 6.869592e-02 2.086010e+01 -2.524588e+01 5.683220e+00 5718 2.115061e-02
626069 7.429621e-03 9.200808e-03 1.446475e-01 1.547346e-01 2.870496e-01 1.664876e+00 3.266181e+00 6.160721e+00 3.370792e+01 4319 1.807311e-02
63639 -1.880467e-03 3.315049e-03 9.297422e-02 1.175109e-02 3.649905e-02 1.068194e-01 8.710050e+00 2.120333e+01 8.846578e+00 1817 7.621756e-03
501143 7.258393e-03 8.303422e-03 1.080511e-01 6.170021e-02 9.588027e-02 2.514185e-01 1.017099e+01 1.636138e+01 2.678434e+01 6622 2.362950e-02
563761 2.288179e-02 8.036022e-03 6.701949e-02 3.010719e-02 1.100874e-02 6.967489e-02 3.039470e+01 1.250517e+01 1.117034e+01 1329 4.895330e-03
501398 -9.827077e-03 -1.142489e-02 1.451285e-01 -3.161574e-02 -1.354113e+00 4.194846e+00 -2.516418e-01 -1.550698e+01 4.677103e+01 2252 9.147282e-03
688994 1.671185e-03 3.674824e-03 9.737666e-02 6.549478e-02 1.703358e-01 3.961500e-01 9.294750e+00 2.427115e+01 4.351092e+01 735 3.105068e-03
814006 7.959322e-03 1.312760e-02 1.471938e-01 3.819378e-02 1.791656e-01 1.076118e+00 2.191354e+00 1.203422e+01 6.732723e+01 2422 9.624328e-03
2183 -9.278727e-03 -1.123256e-02 1.066302e-01 -3.391904e-02 -5.137099e-02 1.521675e-01 -1.021904e+01 -1.664655e+01 1.888563e+01 1453 6.157508e-03
939040 -2.225675e-02 -1.597113e-02 6.347520e-02 -1.743606e-01 -1.413685e-01 3.864028e-02 -2.854837e+01 -2.353583e+01 -4.661265e+00 1107 4.698421e-03
751636 1.282784e-02 2.413490e-02 6.633556e-02 1.855038e-02 4.456835e-02 7.066872e-02 5.979549e+00 2.135117e+01 4.527765e+00 4716 1.746097e-02
814129 -1.379208e-02 -3.780721e-03 1.103785e-01 -2.428282e-01 -1.067995e-01 5.770640e-01 -3.071027e+01 -1.381325e+01 6.257544e+01 1776 6.638919e-03
751666 1.371675e-02 4.634213e-03 9.390597e-02 4.643302e-02 2.272756e-02 1.121194e-01 1.836877e+01 1.015863e+01 1.022607e+01 1663 7.122844e-03
501684 6.112627e-04 -1.203382e-02 1.047609e-01 3.821894e-03 -4.226329e-02 1.299011e-01 1.769248e+00 -1.665823e+01 1.385374e+01 4379 1.651225e-02
