/n/home03/calmiller/DSMC_Simulations/10_7_CaOH/flow_4.00000_gap_0.00270_len_0.02000_T1_2.75000_T2_2.75000_nomesh/data
running....
idx x y z xnext ynext znext vx vy vz collides time
812505 9.445819e-03 2.733661e-02 1.903604e-01 5.221312e-02 3.956170e-01 1.275818e+00 3.010521e+00 2.592438e+01 7.640870e+01 1431 6.904472e-03
250005 -4.651356e-03 9.710013e-03 1.019157e-01 -2.023701e-02 2.992103e-02 1.408698e-01 -2.288511e+01 2.967674e+01 5.719799e+01 1878 7.090210e-03
750013 -6.284146e-03 7.547543e-03 1.173139e-01 -1.045503e-01 1.384723e-01 6.852253e-01 -7.734496e+00 1.030504e+01 4.470012e+01 1926 8.484800e-03
24 -4.397111e-03 8.012044e-03 1.041024e-01 -2.914372e-02 5.291873e-02 1.957310e-01 -1.165027e+01 2.114129e+01 4.313716e+01 2894 1.225390e-02
250035 5.031640e-03 -8.958586e-03 2.993219e-01 -2.161973e-01 -5.360717e-01 1.002000e+01 -1.585196e+00 -3.776982e+00 6.965265e+01 2223 1.138676e-02
937585 -6.854509e-03 3.334553e-03 1.305101e-01 -2.195371e-01 -1.591563e-02 1.089726e+00 -1.278270e+01 -1.156979e+00 5.765101e+01 858 4.948579e-03
120 2.431106e-02 7.282605e-03 1.055836e-01 1.016819e-01 2.938258e-02 1.545208e-01 5.282566e+01 1.508897e+01 3.341235e+01 1161 5.395301e-03
750089 1.112025e-02 -1.551690e-02 1.363742e-01 2.024239e-02 -3.524104e-02 1.969437e-01 7.890244e+00 -1.706050e+01 5.238989e+01 5064 1.978939e-02
812601 -3.959130e-03 8.112032e-03 1.013670e-01 -3.399635e-02 8.766081e-02 2.619776e-01 -1.117093e+01 2.958444e+01 5.973156e+01 3415 1.223657e-02
687602 -4.130172e-03 -2.072559e-02 1.402931e-01 -3.570054e-02 -9.534950e-02 4.419850e-01 -4.212771e+00 -9.957866e+00 4.025797e+01 1975 8.878140e-03
812628 -2.567581e-03 -1.493849e-03 1.693999e-01 -2.239278e-02 -1.198136e-02 4.371235e-01 -4.775743e+00 -2.526365e+00 6.449264e+01 1401 6.720859e-03
250125 -2.686569e-03 4.522998e-03 1.181305e-01 -1.893044e-02 5.011867e-02 4.698092e-01 -3.453169e+00 9.692860e+00 7.476088e+01 3499 1.323806e-02
750136 3.565666e-03 -9.356918e-04 1.253141e-01 9.521615e-02 -1.567431e-02 9.345974e-01 6.526954e+00 -1.049621e+00 5.763368e+01 730 4.043054e-03
312636 -5.587711e-05 1.571357e-02 1.517891e-01 -2.125732e-01 7.609138e-01 2.716954e+00 -3.743142e+00 1.312547e+01 4.518116e+01 2059 9.706017e-03
500156 8.430176e-03 7.265161e-03 1.108549e-01 4.764961e-02 2.727226e-02 2.239312e-01 1.877044e+01 9.575410e+00 5.411839e+01 1889 7.516522e-03
375160 1.492022e-03 -2.773899e-02 1.208689e-01 8.688456e-04 -8.712785e-02 2.132186e-01 -1.432849e-01 -1.365509e+01 2.123369e+01 1270 7.371695e-03
312665 -2.626042e-02 -1.208824e-03 1.306704e-01 -3.203607e-01 -2.929954e-02 5.618644e-01 -3.695341e+01 -3.529571e+00 5.417910e+01 1790 7.911681e-03
252 1.197864e-03 1.759163e-02 1.722641e-01 5.574843e-02 2.173008e-01 9.432535e-01 3.231561e+00 1.183072e+01 4.567321e+01 2024 9.930120e-03
257 -6.848296e-03 -1.626020e-02 2.005883e-01 -1.598414e-01 -3.567695e-01 2.145518e+00 -5.707681e+00 -1.270331e+01 7.255908e+01 2276 9.835310e-03
125183 -7.121200e-03 -4.369208e-03 1.370321e-01 -1.283877e-01 -4.799937e-02 9.402536e-01 -8.578652e+00 -3.086492e+00 5.682163e+01 4641 1.820628e-02
437685 -2.278191e-03 5.176218e-03 1.165520e-01 -8.942185e-02 2.246243e-01 8.496021e-01 -6.213062e+00 1.564594e+01 5.226410e+01 3347 1.400718e-02
125195 -5.891725e-03 -8.038938e-05 9.548370e-02 -3.765612e-02 6.864705e-03 1.391498e-01 -3.002049e+01 6.563801e+00 4.126879e+01 1208 4.917433e-03
750193 -9.200530e-03 4.052243e-03 9.721386e-02 -2.794921e-02 1.301204e-02 1.157047e-01 -2.745262e+01 1.311932e+01 2.707503e+01 1932 7.479150e-03
500208 -1.841004e-02 1.971496e-03 1.527518e-01 -3.902091e-02 -1.049714e-03 2.213989e-01 -1.866059e+01 -2.735332e+00 6.215152e+01 1291 6.282054e-03
342 -1.141966e-03 2.757489e-02 2.221088e-01 -8.816172e-03 4.659814e-02 4.179296e-01 -2.254118e+00 5.587632e+00 5.751778e+01 1776 9.359350e-03
937738 8.446412e-03 2.360291e-02 1.218192e-01 7.925520e-02 5.066674e-01 8.499935e-01 3.936972e+00 2.685841e+01 4.048652e+01 3229 1.304265e-02
500258 -2.718221e-02 1.595492e-03 1.446964e-01 -2.267675e-01 1.251858e-02 5.200384e-01 -3.274571e+01 1.792138e+00 6.158188e+01 777 3.900110e-03
687764 9.200650e-04 1.761895e-02 1.053942e-01 1.540819e-02 1.783171e-01 2.292224e-01 2.252193e+00 2.498068e+01 1.924921e+01 770 4.288721e-03
750262 1.030282e-04 -1.208337e-02 1.157910e-01 1.957715e-02 -1.572491e-01 5.337242e-01 3.341407e+00 -2.490782e+01 7.170977e+01 1312 5.443535e-03
