/n/home03/calmiller/DSMC_Simulations/12_13_20_CaOH/flow_4.00000_T_2.00000_hole/data
running....
idx x y z xnext ynext znext vx vy vz collides time
62503 -3.319603e-04 9.677160e-03 9.833256e-02 3.832433e-03 1.221629e-01 5.131388e-01 7.643670e-01 2.064656e+01 7.613694e+01 3600 1.767040e-02
16 1.411382e-02 1.680386e-02 1.112338e-01 1.339682e-01 1.399297e-01 4.142235e-01 1.943679e+01 1.996732e+01 4.913584e+01 1276 7.026555e-03
75013 5.715627e-03 7.983033e-03 7.829415e-02 3.068345e-02 3.250857e-02 1.075553e-01 3.826134e+01 3.758358e+01 4.484051e+01 1934 9.517454e-03
75018 9.476390e-03 1.617335e-03 1.966421e-01 1.783737e-01 1.949664e-01 2.665620e+00 4.900717e+00 5.610208e+00 7.163976e+01 2029 1.190065e-02
25 1.500373e-03 -1.158165e-02 9.812522e-02 2.484914e-02 -1.353385e-01 4.663414e-01 4.926435e+00 -2.611187e+01 7.769115e+01 3256 1.616264e-02
62524 -3.327911e-03 4.729452e-03 9.490205e-02 -3.386537e-02 5.777436e-02 2.843849e-01 -1.089455e+01 1.892431e+01 6.759996e+01 2157 1.093129e-02
50023 1.210750e-02 1.720944e-02 1.043751e-01 1.311566e-01 2.458150e-01 5.060476e-01 1.491995e+01 2.865023e+01 5.034002e+01 2643 1.373587e-02
50027 3.694201e-03 6.607962e-03 8.731362e-02 1.366652e-02 3.328307e-02 1.381480e-01 9.588974e+00 2.564968e+01 4.888023e+01 1373 7.269729e-03
75034 -2.048982e-02 7.828952e-03 1.056669e-01 -1.532048e-01 5.972642e-02 3.199161e-01 -3.337582e+01 1.305143e+01 5.388044e+01 1173 6.496741e-03
56 2.003636e-02 -3.906174e-03 1.125413e-01 5.069379e-02 -1.435299e-02 1.836965e-01 2.744715e+01 -9.352883e+00 6.370425e+01 3435 1.717188e-02
59 -9.058263e-03 1.188560e-02 9.794813e-02 -6.496724e-02 8.831775e-02 2.763074e-01 -1.606137e+01 2.195721e+01 5.123855e+01 3548 1.802790e-02
66 -9.434632e-03 -7.794754e-03 2.555526e-01 -1.726416e-01 -5.323539e-02 5.269377e+00 -2.079250e+00 -5.789119e-01 6.387592e+01 2602 1.532569e-02
87552 -1.273499e-02 1.159006e-02 1.034909e-01 -1.001390e-01 9.889921e-02 3.531937e-01 -1.874013e+01 1.871979e+01 5.353829e+01 2330 1.161261e-02
72 -1.926739e-02 1.165318e-02 1.499321e-01 -5.307202e-01 3.090095e-01 1.704276e+00 -1.784533e+01 1.037520e+01 5.423333e+01 6132 3.025095e-02
