/n/home03/calmiller/DSMC_Simulations/12_13_20_CaOH/flow_4.00000_T_2.00000_nohole/data
running....
idx x y z xnext ynext znext vx vy vz collides time
37508 4.588216e-03 1.048645e-02 9.535827e-02 1.112074e-02 2.999632e-02 1.315623e-01 7.495511e+00 2.238589e+01 4.154101e+01 3446 1.579501e-02
87519 -2.613302e-02 -4.412982e-03 1.716259e-01 -4.130986e-01 -7.772476e-02 1.426010e+00 -2.183498e+01 -4.136702e+00 7.078009e+01 1243 6.958865e-03
37526 -9.388247e-03 1.723862e-02 1.165445e-01 -6.258877e-02 1.522550e-01 3.896228e-01 -1.269301e+01 3.221330e+01 6.515321e+01 2193 1.026679e-02
37539 1.252799e-02 2.998927e-03 1.258514e-01 8.488013e-02 1.253862e-02 5.339030e-01 1.355199e+01 1.786842e+00 7.643050e+01 3955 1.807199e-02
75038 6.307300e-03 -8.526614e-03 8.433066e-02 2.278000e-02 -2.060384e-02 1.116532e-01 2.972781e+01 -2.179541e+01 4.930823e+01 3527 1.599352e-02
50048 5.224777e-03 1.439575e-02 1.263807e-01 1.102059e-01 3.052052e-01 1.310058e+00 5.503406e+00 1.524505e+01 6.205170e+01 2800 1.347679e-02
25053 1.205975e-02 -1.273088e-03 1.112958e-01 3.902230e-02 -1.145871e-03 2.179179e-01 1.434489e+01 6.768307e-02 5.672612e+01 2007 9.740073e-03
12563 -2.163664e-02 1.814340e-02 1.596509e-01 -1.127723e+00 4.896972e-01 4.534918e+00 -1.544929e+01 6.586440e+00 6.111165e+01 1865 9.956439e-03
78 1.138946e-02 2.651258e-03 1.248310e-01 3.596066e-01 1.805041e-01 1.906012e+00 1.586510e+01 8.103140e+00 8.115229e+01 2266 1.058525e-02
50063 1.241439e-03 -3.261103e-03 9.233825e-02 6.373954e-02 -4.785232e-02 4.222346e-01 1.573472e+01 -1.122643e+01 8.305575e+01 2295 1.029747e-02
50073 -2.517791e-03 -1.165374e-02 1.435136e-01 -7.554310e-03 -5.596472e-02 3.680788e-01 -1.546318e+00 -1.360441e+01 6.894631e+01 1415 7.583698e-03
37570 -4.778115e-03 1.046329e-02 8.384673e-02 -1.025103e-02 3.973383e-02 1.133295e-01 -7.307333e+00 3.908146e+01 3.936486e+01 3274 1.471414e-02
92 1.203057e-03 1.701874e-02 9.934025e-02 3.322740e-03 9.254687e-02 2.263996e-01 6.586345e-01 2.346833e+01 3.948027e+01 1171 6.223191e-03
12578 2.762043e-03 -8.154023e-03 9.016044e-02 1.063852e-02 -3.883159e-02 1.740977e-01 5.767844e+00 -2.246480e+01 6.146619e+01 1104 5.100836e-03
87587 6.573617e-03 8.517494e-03 9.866523e-02 2.242623e-02 2.640977e-02 1.528281e-01 1.656184e+01 1.869275e+01 5.658604e+01 4233 1.913879e-02
62582 6.058534e-03 -4.509894e-03 1.568431e-01 1.963379e-01 -1.869645e-01 2.646151e+00 5.286246e+00 -5.068864e+00 6.915673e+01 1535 8.293345e-03
87591 1.063586e-03 -1.341024e-02 1.875671e-01 -6.633317e-02 -1.112422e-01 2.038466e+00 -2.930157e+00 -4.253366e+00 8.047011e+01 1703 9.237307e-03
75085 1.583493e-02 -2.853822e-03 8.495704e-02 9.181581e-02 -2.543587e-02 1.497835e-01 4.356501e+01 -1.294782e+01 3.716942e+01 1110 5.239553e-03
116 2.901676e-03 7.446038e-03 1.534580e-01 8.065474e-03 7.635857e-03 4.099387e-01 1.144087e+00 4.205616e-02 5.682564e+01 2941 1.468518e-02
37595 6.562939e-03 -1.210879e-02 9.436921e-02 7.794999e-02 -1.210755e-01 3.663385e-01 1.731525e+01 -2.643037e+01 6.596739e+01 718 3.709640e-03
25098 -5.554835e-03 8.486040e-03 1.129592e-01 -4.095615e-02 6.679976e-02 3.545593e-01 -9.621573e+00 1.584884e+01 6.566347e+01 3189 1.472001e-02
75094 1.457017e-02 -1.267428e-03 1.121503e-01 6.803123e-02 -1.521454e-02 2.384725e-01 2.220639e+01 -5.793283e+00 5.247106e+01 2746 1.271788e-02
75096 -6.518767e-03 1.679428e-02 1.339155e-01 -2.980653e-02 6.285170e-02 3.083620e-01 -1.113315e+01 2.201860e+01 8.339737e+01 2116 1.004094e-02
50107 1.296396e-02 4.324190e-04 8.158995e-02 3.127082e-02 1.880067e-03 9.657972e-02 4.370188e+01 3.455806e+00 3.578337e+01 2802 1.247069e-02
50109 1.483861e-03 -7.593081e-03 1.601250e-01 5.497466e-02 -3.021461e-02 1.287773e+00 3.918781e+00 -1.657272e+00 8.261244e+01 1785 8.862469e-03
62606 8.973868e-03 -1.674087e-03 9.722123e-02 4.538207e-02 -5.016341e-03 2.001814e-01 2.024881e+01 -1.858830e+00 5.726243e+01 1052 5.102646e-03
62617 -1.069302e-02 5.599667e-03 1.141830e-01 -7.326417e-02 6.863280e-02 5.209224e-01 -9.684949e+00 9.756454e+00 6.295632e+01 3600 1.666174e-02
