idx x y z xnext ynext znext vx vy vz collides time
1 5.457483e-04 3.792712e-03 6.348172e-02 5.390760e-04 3.790811e-03 6.351797e-02 -4.734587e+00 -1.356611e+00 2.571729e+01 3679 1.313900e-02
2 -2.774018e-03 -4.330652e-03 6.333737e-02 -2.825680e-03 -4.268198e-03 6.354238e-02 -5.728737e+00 7.027467e+00 2.288001e+01 6431 2.234756e-02
3 -2.166160e-03 -3.116480e-03 6.348741e-02 -2.181976e-03 -3.114613e-03 6.351276e-02 -9.278298e+00 1.103464e+00 1.487816e+01 1714 6.060021e-03
4 -1.452052e-03 -4.129398e-03 6.347647e-02 -1.480339e-03 -4.175423e-03 6.370013e-02 -2.931061e+00 -4.743917e+00 2.333954e+01 9997 3.614324e-02
5 5.880283e-03 -7.096465e-03 6.347912e-02 5.981821e-03 -7.062532e-03 6.372179e-02 4.984643e+00 1.930050e+00 1.232527e+01 7492 2.698225e-02
6 3.419574e-03 -6.269745e-03 6.349271e-02 3.428608e-03 -6.263433e-03 6.350495e-02 1.308045e+01 9.149472e+00 1.773071e+01 3455 1.177983e-02
7 4.122365e-03 -6.245628e-03 6.347561e-02 4.149644e-03 -6.254946e-03 6.353503e-02 5.792600e+00 -1.945020e+00 1.268013e+01 7571 2.682338e-02
8 -2.273446e-03 -9.259522e-03 1.158617e-02 -2.259162e-03 -9.252529e-03 1.160776e-02 8.095643e+00 3.984432e+00 1.222771e+01 2548 8.735932e-03
9 4.966076e-04 -6.227381e-03 6.348080e-02 5.120498e-04 -6.282794e-03 6.355515e-02 2.503163e+00 -8.941933e+00 1.207385e+01 6262 2.167858e-02
10 -4.957684e-03 3.509101e-03 6.337759e-02 -4.937009e-03 3.414682e-03 6.350244e-02 2.324697e+00 -1.035716e+01 1.363280e+01 3479 1.249826e-02
11 -5.925171e-03 2.045538e-03 6.344577e-02 -6.081441e-03 2.132098e-03 6.356024e-02 -9.665770e+00 5.383173e+00 7.183790e+00 4028 1.298801e-02
12 -1.027108e-03 -4.563372e-03 1.386465e-01 -2.533031e-03 -1.753228e-03 8.609682e-01 7.132463e-02 -7.494060e+00 3.022376e+01 3290 1.362594e-02
13 -3.964573e-03 7.304891e-03 7.906845e-02 -4.312360e-03 7.401330e-03 8.018874e-02 -4.041590e+00 4.120050e-01 1.452388e+01 10968 3.858310e-02
14 -2.410515e-03 3.375681e-03 7.949450e-02 -3.019247e-03 3.346956e-03 8.060046e-02 -1.224820e+01 -8.308392e-01 2.259938e+01 2611 9.678081e-03
15 -9.528874e-03 -1.053920e-03 6.349995e-02 -9.426461e-03 -1.046410e-03 6.355989e-02 9.019639e+00 6.674809e-01 5.183528e+00 5796 2.146918e-02
16 5.395921e-03 -3.413132e-03 7.954083e-02 5.616989e-03 -3.515845e-03 8.011112e-02 1.111171e+01 -5.136462e+00 2.907556e+01 9702 3.448429e-02
17 -4.689877e-03 3.270702e-03 6.346984e-02 -4.592674e-03 3.276240e-03 6.353668e-02 1.154628e+01 6.134750e-01 7.899573e+00 3455 1.188030e-02
18 3.769650e-03 1.556675e-03 6.343850e-02 3.761978e-03 1.550618e-03 6.351500e-02 -2.842319e+00 -2.238366e+00 2.819007e+01 4259 1.485326e-02
19 -2.834032e-03 -1.293995e-02 1.907627e-02 -2.852516e-03 -1.291588e-02 1.902419e-02 -7.696641e+00 1.008077e+01 -2.171383e+01 2543 8.762033e-03
20 -1.507383e-03 5.325863e-03 1.270004e-02 -1.530546e-03 5.311682e-03 1.268164e-02 -1.385520e+01 -8.497830e+00 -1.100751e+01 17700 6.297662e-02
21 3.969269e-03 1.337076e-03 8.151361e-02 3.981085e-03 1.275470e-03 8.171754e-02 9.657081e-01 -5.408075e+00 1.782885e+01 6571 2.333168e-02
22 -1.384239e-03 -6.161637e-03 7.991355e-02 -1.561566e-03 -6.401694e-03 8.036309e-02 -1.005379e+01 -1.349882e+01 2.558264e+01 3810 1.381466e-02
23 -5.061286e-03 6.185911e-03 6.348843e-02 -4.993840e-03 6.125967e-03 6.357789e-02 7.466347e+00 -6.658698e+00 9.814047e+00 3264 1.093346e-02
24 -6.270884e-03 -6.340366e-04 6.349908e-02 -6.260999e-03 -7.294297e-04 6.385797e-02 7.015913e-01 -5.074559e+00 1.916100e+01 5951 2.127236e-02
25 5.989105e-03 2.213411e-03 1.273249e-02 6.124914e-03 2.311816e-03 1.265334e-02 1.450383e+01 1.053857e+01 -8.501034e+00 6304 2.250603e-02
26 -4.496424e-03 -5.466963e-03 6.329050e-02 -4.494281e-03 -5.421475e-03 6.351482e-02 2.958433e-01 5.064910e+00 2.461350e+01 3876 1.381156e-02
27 3.866843e-03 -3.746007e-04 6.337433e-02 3.711978e-03 -5.665513e-04 6.351596e-02 -1.398327e+01 -1.724675e+01 1.273041e+01 7104 2.408265e-02
28 1.846158e-03 1.201178e-04 1.271532e-02 1.830839e-03 1.351295e-04 1.269156e-02 -1.165675e+01 1.141895e+01 -1.808004e+01 2181 8.092210e-03
29 4.610294e-03 -2.090676e-03 6.329250e-02 4.669126e-03 -2.001426e-03 6.357490e-02 4.204115e+00 6.562004e+00 2.063059e+01 4263 1.536097e-02
30 3.823406e-03 -1.784618e-03 6.332213e-02 3.818698e-03 -1.718006e-03 6.355337e-02 -5.800198e-01 7.516574e+00 2.601323e+01 4419 1.560274e-02
31 7.178834e-04 -6.896496e-03 7.947707e-02 7.861242e-04 -7.178659e-03 8.018041e-02 2.306442e+00 -9.366922e+00 2.410259e+01 2906 1.038046e-02
32 -2.704826e-03 2.605585e-03 1.271327e-02 -2.695550e-03 2.612682e-03 1.267802e-02 2.892187e+00 2.190528e+00 -1.093982e+01 1852 6.564604e-03
33 -2.725339e-03 8.435117e-03 6.345869e-02 -2.762079e-03 8.390984e-03 6.360860e-02 -4.956831e+00 -6.082008e+00 2.034668e+01 7239 2.580323e-02
34 -3.609087e-03 -1.111875e-03 1.270330e-02 -3.601628e-03 -1.112360e-03 1.269618e-02 2.864411e+00 -1.807708e-01 -2.717470e+00 2696 9.850412e-03
35 8.657240e-03 4.983418e-03 6.343390e-02 8.626039e-03 5.071791e-03 6.366158e-02 -2.999238e+00 8.018107e+00 2.086587e+01 5656 2.039711e-02
36 7.292874e-04 4.169445e-03 6.339592e-02 6.844787e-04 4.106429e-03 6.365251e-02 -4.143515e+00 -5.877629e+00 2.366110e+01 7501 2.709433e-02
37 -1.174616e-03 -1.980311e-03 8.188809e-02 -1.032372e-03 -1.530752e-03 8.235540e-02 1.752961e+00 5.313058e+00 5.275329e+00 15104 5.474959e-02
38 9.084821e-05 2.125709e-03 9.491394e-02 2.678704e-03 -1.907079e-03 3.960848e-01 -1.220605e+00 4.948999e+00 1.267946e+01 6368 2.460838e-02
39 4.132442e-03 3.082125e-03 6.338930e-02 4.186654e-03 2.984957e-03 6.350988e-02 7.224466e+00 -1.306480e+01 1.617155e+01 22527 7.936867e-02
40 4.738418e-03 1.466057e-03 1.270425e-02 4.745815e-03 1.472749e-03 1.269641e-02 1.698076e+01 1.536360e+01 -1.800765e+01 16258 5.699495e-02
41 1.940595e-03 4.515992e-03 7.996018e-02 1.991380e-03 4.994013e-03 8.036803e-02 1.984024e+00 1.917822e+01 1.650937e+01 9614 3.444925e-02
42 4.760416e-03 1.428283e-03 6.345720e-02 4.804071e-03 1.314920e-03 6.350903e-02 3.703849e+00 -9.853584e+00 4.494018e+00 5299 1.787893e-02
43 1.137962e-03 3.370390e-04 1.273773e-02 1.335152e-03 2.855986e-04 1.263464e-02 1.416978e+01 -3.709480e+00 -7.420754e+00 3342 1.214553e-02
44 4.368546e-03 -6.551105e-03 6.346664e-02 4.380428e-03 -6.564232e-03 6.350046e-02 3.860749e+00 -4.257501e+00 1.104575e+01 4410 1.567262e-02
45 8.109329e-03 -5.217162e-03 6.345211e-02 8.039255e-03 -5.143530e-03 6.351881e-02 -9.904808e+00 1.037275e+01 9.347546e+00 1974 7.120928e-03
46 8.601361e-04 8.546751e-03 6.347456e-02 9.344819e-04 8.608861e-03 6.356179e-02 1.365460e+01 1.134421e+01 1.602812e+01 4176 1.385162e-02
47 2.454058e-03 -3.719106e-03 6.348440e-02 2.456179e-03 -3.685776e-03 6.361013e-02 3.060376e-01 5.212984e+00 1.953124e+01 11321 4.033827e-02
48 -3.097024e-03 -5.521019e-03 7.991634e-02 -4.709853e-03 -6.805833e-03 8.346325e-02 -2.042030e+01 -1.591737e+01 4.583673e+01 4012 1.316795e-02
49 -1.959315e-03 4.038609e-03 8.103588e-02 -1.978722e-03 4.128451e-03 8.129220e-02 -2.203506e+00 1.026582e+01 2.943875e+01 16128 5.699377e-02
50 -7.534845e-03 3.527451e-03 7.939296e-02 -7.943383e-03 3.856322e-03 8.052709e-02 -9.811579e+00 8.047868e+00 2.849482e+01 1477 4.932409e-03
51 -4.056545e-03 2.979274e-03 6.349956e-02 -4.069195e-03 2.994294e-03 6.352053e-02 -8.491748e+00 1.008661e+01 1.409204e+01 11781 4.150542e-02
52 3.051814e-03 -3.056606e-03 6.348452e-02 3.057629e-03 -3.053917e-03 6.350271e-02 6.676342e+00 3.093293e+00 2.089929e+01 6548 2.291386e-02
53 3.197616e-03 -3.141684e-03 6.340582e-02 3.023253e-03 -3.101527e-03 6.360343e-02 -1.301312e+01 3.044995e+00 1.467716e+01 7226 2.683161e-02
54 -1.142148e-02 5.040380e-03 7.813289e-02 -1.162035e-02 5.126460e-03 7.841919e-02 -2.004079e+01 8.672986e+00 2.909216e+01 7441 2.616513e-02
55 -4.718910e-04 9.482520e-05 8.134189e-02 -6.737124e-04 -1.044925e-05 8.223542e-02 -7.935368e+00 -4.152073e+00 3.522325e+01 9556 3.387233e-02
56 -5.084741e-03 -3.319527e-03 7.946523e-02 -5.602415e-03 -3.086229e-03 8.024770e-02 -1.776484e+01 8.245116e+00 2.719119e+01 9284 3.321644e-02
57 -2.876711e-03 5.189319e-03 6.346429e-02 -2.923026e-03 5.154260e-03 6.351563e-02 -5.462510e+00 -4.226881e+00 6.094748e+00 9880 3.536123e-02
58 5.831570e-03 4.246398e-03 1.282909e-02 6.066213e-03 4.439489e-03 1.210215e-02 7.131699e+00 5.894711e+00 -2.295437e+01 1804 6.582099e-03
59 2.125382e-03 -4.053200e-03 6.338066e-02 2.014383e-03 -4.017216e-03 6.364113e-02 -6.399464e+00 2.161750e+00 1.488980e+01 7524 2.711785e-02
