running....
idx x y z xnext ynext znext vx vy vz collides time
1 -1.206797e-02 1.434949e-03 1.692319e-01 -1.295065e-02 2.281182e-03 1.723927e-01 -6.254375e+00 7.606403e+00 2.944601e+01 24728 9.484168e-02
2 5.353830e-04 7.786693e-04 1.523069e-01 6.209501e-03 -1.153950e-03 1.714929e-01 7.376424e+00 -3.333636e+00 3.278805e+01 1361 7.321533e-03
3 3.445846e-03 -2.899361e-04 6.444028e-02 3.559154e-03 -2.230447e-04 6.475437e-02 9.820876e+00 5.837195e+00 2.738745e+01 12771 4.847203e-02
4 4.387241e-03 7.200899e-03 1.661713e-01 4.591807e-03 8.606478e-03 1.721619e-01 5.522032e-02 6.213420e+00 3.484341e+01 5230 2.145173e-02
5 6.065094e-03 -4.288638e-03 6.349410e-02 6.064908e-03 -4.294460e-03 6.350369e-02 -1.957977e-01 -5.824921e+00 9.607034e+00 8830 3.458877e-02
6 5.419590e-03 -4.735088e-03 6.345469e-02 5.403880e-03 -4.732897e-03 6.351691e-02 -5.806108e+00 8.259356e-01 2.290954e+01 2374 8.717452e-03
7 4.407907e-03 -8.481114e-03 6.347334e-02 4.447258e-03 -8.460279e-03 6.351158e-02 7.083737e+00 3.839199e+00 6.918068e+00 4337 1.653989e-02
8 -8.667533e-03 4.474366e-04 1.658630e-01 -1.325623e-02 1.675011e-03 1.661867e-01 -2.176862e+01 6.339249e+00 1.736697e+00 2437 1.528602e-02
9 -2.672801e-03 6.565798e-03 6.339148e-02 -2.687161e-03 6.545239e-03 6.362884e-02 -1.995427e+00 -2.966134e+00 3.344834e+01 4857 1.790456e-02
10 5.382164e-03 -1.617820e-03 6.342936e-02 5.318505e-03 -1.535918e-03 6.360287e-02 -9.206965e+00 1.179075e+01 2.494404e+01 6930 2.536081e-02
11 -3.918144e-03 -4.692772e-03 6.346198e-02 -3.827376e-03 -4.667589e-03 6.356657e-02 1.625888e+01 4.540812e+00 1.869721e+01 2004 7.425020e-03
12 1.720489e-03 4.334826e-03 6.341716e-02 1.650280e-03 4.480136e-03 6.367654e-02 -5.510360e+00 1.125475e+01 2.023808e+01 9843 3.570780e-02
13 -8.381145e-03 3.449451e-03 6.348997e-02 -8.389447e-03 3.452882e-03 6.350243e-02 -4.879580e+00 2.016919e+00 7.357245e+00 4724 1.744334e-02
14 -1.544313e-04 4.474215e-03 6.347071e-02 -1.518228e-06 4.395548e-03 6.360868e-02 1.751961e+01 -9.069867e+00 1.580611e+01 2609 9.615507e-03
15 -4.706263e-03 2.594193e-03 6.349711e-02 -4.638882e-03 2.536068e-03 6.351269e-02 1.133241e+01 -9.762854e+00 2.611245e+00 2521 9.348755e-03
16 1.947169e-03 7.338692e-04 1.280352e-02 1.994966e-03 7.807020e-04 1.264514e-02 3.962257e+00 3.903105e+00 -1.324499e+01 17885 6.749030e-02
17 1.340512e-03 4.886985e-03 6.346334e-02 1.219099e-03 4.985479e-03 6.365959e-02 -1.397956e+01 1.126381e+01 2.257015e+01 4957 1.859552e-02
18 1.146129e-02 7.679518e-03 8.917073e-02 1.018387e-02 8.335705e-03 9.331115e-02 -9.483169e+00 6.426788e-01 1.963222e+01 4492 1.795139e-02
19 3.904866e-04 3.439410e-03 1.980126e-01 -5.178023e-04 1.604492e-03 2.017106e+01 9.748490e-01 5.601679e+00 3.718447e+01 2983 1.376934e-02
20 2.620937e-03 4.978853e-03 6.349525e-02 2.644715e-03 4.989555e-03 6.351709e-02 6.441912e+00 2.878557e+00 5.931657e+00 6142 2.226767e-02
21 2.919281e-03 -7.798793e-03 6.333294e-02 2.986787e-03 -7.865152e-03 6.355503e-02 7.072164e+00 -6.882743e+00 2.340201e+01 8176 3.011122e-02
22 -3.326152e-03 -6.099434e-04 1.274480e-02 -3.395964e-03 -6.385113e-04 1.268867e-02 -8.535410e+00 -3.501811e+00 -6.894187e+00 9627 3.820041e-02
23 -2.756509e-03 -3.491600e-03 1.936572e-01 -2.880439e-03 -3.471918e-03 4.681087e+00 -2.946088e+00 6.996583e-01 2.931572e+01 2180 1.102412e-02
24 -4.294319e-04 -1.994230e-04 1.705428e-01 -2.529677e-03 -1.655339e-03 1.788929e-01 -8.998313e+00 -6.270201e+00 3.735269e+01 1403 6.363030e-03
25 1.280503e-03 8.463226e-03 6.349433e-02 1.282358e-03 8.468830e-03 6.351682e-02 1.480416e+00 4.462876e+00 1.797198e+01 3666 1.336864e-02
26 2.130128e-03 -2.595298e-04 1.270887e-02 2.097420e-03 -2.866074e-04 1.268668e-02 -6.551802e+00 -5.409020e+00 -4.434173e+00 2257 8.261884e-03
27 -2.424203e-03 -2.476398e-03 6.374628e-02 -2.317623e-03 -2.662759e-03 6.389132e-02 4.637802e+00 -7.876732e+00 6.198780e+00 11466 4.432614e-02
28 1.627758e-03 -8.706359e-03 1.654737e-01 2.232350e-03 -1.056824e-02 1.736972e-01 1.167885e+00 -1.946025e+00 2.713842e+01 4964 2.136106e-02
29 -4.963150e-03 -4.400744e-03 1.277200e-02 -5.005430e-03 -4.392513e-03 1.269518e-02 -4.873185e+00 1.016738e+00 -8.968670e+00 2027 8.038455e-03
30 -6.977867e-03 -1.034746e-02 1.637601e-01 -7.604155e-03 -1.049042e-02 1.673324e-01 -1.685129e+00 1.892867e+00 2.030619e+01 3672 1.660651e-02
31 7.134052e-03 2.259190e-03 6.339828e-02 7.105626e-03 2.189456e-03 6.370738e-02 -2.677670e+00 -6.318301e+00 2.784326e+01 6361 2.316193e-02
32 5.837445e-03 -9.473549e-03 8.058310e-02 1.030302e-02 -1.296494e-02 9.472065e-02 5.941626e+00 -1.604646e+00 3.353837e+01 9715 3.644504e-02
33 6.061565e-03 3.785691e-03 1.331498e-01 1.254621e-02 6.820777e-03 1.397602e-01 6.665822e+00 2.422715e+00 1.317749e+01 2004 9.788192e-03
34 -8.926185e-03 4.598441e-03 8.024885e-02 -1.406076e-02 7.700321e-03 9.647144e-02 -4.469990e-01 9.132382e-01 2.928035e+01 3103 1.117682e-02
35 7.138280e-03 1.448996e-03 1.956636e-01 -2.903829e-03 9.375405e-04 2.819012e+00 -1.449648e+01 -6.772252e+00 3.958322e+01 4685 2.051761e-02
36 6.875664e-03 -9.798846e-03 1.500884e-01 8.621377e-03 -9.910192e-03 1.487438e-01 3.645435e+00 3.429343e+00 -5.073356e+00 5481 4.086755e-02
37 -8.659012e-04 -3.666624e-03 1.687207e-01 -2.816510e-03 -2.907984e-03 1.722701e-01 -9.739888e+00 4.921355e+00 1.853791e+01 1235 8.877549e-03
38 -4.852918e-03 -2.458278e-06 6.348537e-02 -4.844347e-03 3.908711e-06 6.350125e-02 4.564737e+00 3.381020e+00 8.432500e+00 1899 6.789725e-03
39 -2.156151e-03 -7.020320e-03 1.613221e-01 -2.831855e-03 -4.964725e-03 1.711610e-01 -2.685277e+00 1.216666e+01 4.940511e+01 4145 1.729177e-02
40 4.178140e-03 4.209958e-03 6.348841e-02 4.157700e-03 4.208841e-03 6.350348e-02 -1.413510e+01 -7.814059e-01 1.041375e+01 13354 4.992499e-02
