running....
idx x y z xnext ynext znext vx vy vz collides time
11 4.126892e-03 -2.114631e-02 5.965869e-02 -Inf -Inf -Inf -2.748520e-03 -9.330535e+00 -1.973189e+01 5602 2.138902e-02
28 4.994998e-03 5.662852e-03 8.901101e-02 3.116598e-02 3.231149e-02 1.850750e-01 1.226677e+01 1.249065e+01 4.502674e+01 2049 8.070222e-03
78 -2.534091e-03 2.575782e-02 1.160701e-01 -8.334984e-04 4.101546e-02 1.445047e-01 1.862012e+00 1.670589e+01 3.113361e+01 2592 1.113788e-02
85 9.676827e-03 -1.736266e-02 1.047833e-01 2.477553e-02 -4.091074e-02 1.673769e-01 7.622732e+00 -1.188848e+01 3.160098e+01 1762 7.398921e-03
135 1.647371e-02 -8.375378e-03 9.975844e-02 5.212156e-02 -2.564202e-02 1.565581e-01 1.904346e+01 -9.224024e+00 3.034300e+01 3696 1.463571e-02
146 -7.842124e-03 -1.849526e-02 8.304358e-02 -4.788125e-02 -9.303497e-02 1.503941e-01 -8.446672e+00 -1.572493e+01 1.420830e+01 4343 1.755162e-02
243 1.823361e-02 1.150897e-02 4.319391e-02 Inf Inf Inf 5.551739e+00 1.121193e+00 1.550920e+01 2737 1.096763e-02
252 -2.066980e-02 -2.190700e-03 1.097891e-01 -4.192542e-02 -5.828140e-03 1.533000e-01 -1.453738e+01 -2.487758e+00 2.975841e+01 1420 6.747123e-03
318 1.951043e-02 2.381260e-03 1.054440e-01 3.923554e-02 6.156249e-03 1.497562e-01 2.150885e+01 4.116360e+00 4.831935e+01 3349 1.326004e-02
378 -1.496481e-02 -4.067625e-03 9.522277e-02 -4.990750e-02 -1.323613e-02 1.746068e-01 -1.786465e+01 -4.687450e+00 4.058552e+01 3949 1.510112e-02
404 7.529505e-03 7.952841e-03 7.894732e-02 2.237282e-02 2.327545e-02 1.123464e-01 1.813032e+01 1.871576e+01 4.079525e+01 2158 7.653187e-03
423 1.288337e-02 -8.951888e-03 1.010379e-01 2.429691e-02 -2.086486e-02 1.404280e-01 9.945934e+00 -1.038115e+01 3.432516e+01 1486 6.655079e-03
551 6.341280e-03 2.139124e-02 9.687290e-02 4.371579e-02 1.224968e-01 2.407416e-01 6.286193e+00 1.700542e+01 2.419795e+01 3549 1.438826e-02
552 9.330776e-05 9.271281e-03 8.076950e-02 -1.770068e-03 3.089411e-02 1.185321e-01 -1.486381e+00 1.724814e+01 3.012255e+01 3954 1.466036e-02
608 1.363155e-03 3.727476e-03 2.030631e-01 -5.513472e-02 1.432430e-01 1.306779e+00 -1.641851e+00 4.054378e+00 3.207442e+01 1956 1.090430e-02
623 2.266357e-02 -1.245336e-02 1.101458e-01 2.917090e-01 -1.581058e-01 5.831516e-01 2.248183e+01 -1.217093e+01 3.952505e+01 3790 1.487097e-02
737 -1.739609e-02 1.017191e-04 9.050095e-02 -6.667375e-02 -4.648946e-03 1.716108e-01 -2.561338e+01 -2.469285e+00 4.215900e+01 3709 1.457872e-02
769 -1.155479e-02 -4.636840e-03 1.182306e-01 -Inf -Inf Inf -1.302279e+01 -2.197141e+00 5.104163e+01 3791 1.469261e-02
778 1.754959e-02 -1.248060e-02 5.078520e-02 Inf -Inf -Inf 1.042016e+01 -9.240677e+00 -8.512472e-01 2287 9.617182e-03
855 1.889825e-03 1.024002e-02 7.937345e-02 -5.064007e-03 7.039387e-02 1.755772e-01 -2.206732e+00 1.908925e+01 3.052933e+01 5313 2.052215e-02
865 6.680311e-03 -2.047618e-02 2.793548e-02 -Inf -Inf Inf -9.701518e+00 -8.035447e+00 1.061828e+01 2213 9.218783e-03
890 6.108268e-03 1.677423e-02 9.882294e-02 1.506182e-02 3.102242e-02 1.326299e-01 9.968051e+00 1.586260e+01 3.763754e+01 4111 1.551117e-02
921 -7.726758e-03 1.009743e-02 1.086774e-01 -2.398928e-02 2.706832e-02 1.812118e-01 -8.135969e+00 8.490360e+00 3.628821e+01 3192 1.284518e-02
994 -2.068489e-02 6.170994e-03 6.071862e-02 -Inf Inf Inf -1.074633e+01 4.337219e+00 8.589141e+00 3294 1.221369e-02
1020 8.911323e-03 -6.350088e-03 7.380317e-02 3.419189e-02 -1.897363e-02 1.073812e-01 1.370359e+01 -6.842717e+00 1.820129e+01 2407 9.063194e-03
1072 1.410850e-02 1.630835e-02 4.531989e-02 Inf Inf -Inf 3.919950e+00 1.614510e+01 -5.000965e+00 3744 1.452740e-02
1073 -3.793103e-03 2.901674e-02 1.209861e-01 -2.085573e-03 5.667369e-01 1.047333e+00 4.850000e-02 1.527319e+01 2.631159e+01 2757 1.204920e-02
1115 -8.762882e-03 8.632092e-03 7.652175e-02 -3.402404e-02 2.891856e-02 1.177465e-01 -1.724687e+01 1.385043e+01 2.814591e+01 2870 1.130100e-02
1156 -9.359692e-03 -2.740085e-02 1.133831e-01 -1.910565e-02 -5.836771e-02 1.705167e-01 -6.556296e+00 -2.083202e+01 3.843489e+01 2264 9.384442e-03
1252 -1.935530e-02 -1.269799e-02 1.040427e-01 -3.494736e-02 -2.472055e-02 1.354812e-01 -1.702011e+01 -1.312369e+01 3.431788e+01 3330 1.302350e-02
1344 -1.906163e-02 -1.000783e-02 3.999176e-02 -Inf -Inf Inf -2.120228e+00 -1.444908e+01 4.798108e+00 1855 7.250719e-03
1423 -4.696234e-04 2.156961e-02 5.197079e-02 Inf Inf -Inf 4.193155e-01 8.302467e+00 -6.155196e+00 1754 6.364547e-03
1434 -1.597849e-02 -1.120900e-02 8.980147e-02 -4.611106e-02 -3.972283e-02 1.544377e-01 -9.174205e+00 -8.681361e+00 1.967924e+01 3258 1.385070e-02
1499 1.081530e-02 -5.440292e-03 1.800925e-01 Inf Inf Inf 3.484569e+00 3.588132e+00 3.051161e+01 2682 1.435179e-02
1664 -9.428759e-03 4.289602e-03 7.052084e-02 -8.812752e-02 6.614438e-02 1.531971e-01 -2.194681e+01 1.724951e+01 2.305602e+01 1007 3.836705e-03
1714 1.627502e-02 2.499996e-02 1.265607e-01 2.283824e+00 5.211527e+00 1.220212e+01 6.210561e+00 1.420531e+01 3.307358e+01 3666 1.586347e-02
1717 -3.134222e-03 1.901523e-03 2.152053e-01 -2.013490e-01 -3.404206e-01 6.334443e+00 -1.494397e+00 -2.580863e+00 4.613466e+01 3820 1.740304e-02
1805 1.451338e-02 -1.471065e-03 9.451909e-02 6.302770e-02 -1.568327e-02 2.055625e-01 1.131494e+01 -3.314698e+00 2.589854e+01 13696 5.255317e-02
1813 -6.095813e-05 -1.290645e-02 1.096802e-01 -3.229774e-03 -3.388502e-02 1.876935e-01 -1.702640e+00 -1.127202e+01 4.191740e+01 3246 1.264872e-02
1903 -1.345079e-02 -1.685416e-02 5.953916e-02 -Inf Inf Inf -4.229197e+00 3.249082e+00 1.178574e+01 4046 1.482090e-02
2138 -2.533679e-03 -7.430373e-03 8.641782e-02 -1.455055e-02 -4.387142e-02 1.711370e-01 -3.905458e+00 -1.184326e+01 2.753356e+01 2194 9.611035e-03
