running....
idx x y z xnext ynext znext vx vy vz collides time
1 -1.600004e-02 3.468720e-03 1.910097e-02 -1.599971e-02 3.475506e-03 1.903017e-02 3.887884e-02 8.125750e-01 -8.477481e+00 802 5.326445e-03
2 -2.154560e-02 1.328316e-03 5.161944e-02 -2.156095e-02 1.370244e-03 5.166762e-02 -1.617082e+00 4.416592e+00 5.075411e+00 1555 9.491303e-03
3 4.717843e-03 -6.673830e-03 6.338911e-02 4.545862e-03 -6.629434e-03 6.353173e-02 -9.525168e+00 2.458881e+00 7.898765e+00 1633 1.059965e-02
4 1.339059e-02 -1.686765e-02 5.328091e-02 1.342880e-02 -1.695059e-02 5.328369e-02 9.154228e+00 -1.987350e+01 6.678004e-01 1923 1.297572e-02
5 -1.921587e-02 9.743948e-03 2.171579e-02 -1.937166e-02 9.785676e-03 2.164164e-02 -1.663167e+01 4.454806e+00 -7.915854e+00 779 4.998970e-03
6 6.012568e-03 -1.971878e-02 6.347802e-02 6.020909e-03 -1.975047e-02 6.350498e-02 2.168917e+00 -8.241110e+00 7.008965e+00 1654 1.004173e-02
7 -1.641907e-04 -2.557431e-03 1.278841e-02 -2.021456e-05 -2.582216e-03 1.253078e-02 1.293785e+01 -2.227161e+00 -2.315043e+01 1111 6.902737e-03
8 2.084421e-02 -5.582602e-03 3.593409e-02 2.086399e-02 -5.697351e-03 3.593285e-02 2.334592e+00 -1.354248e+01 -1.460916e-01 331 2.283606e-03
9 -1.376860e-02 1.656209e-02 3.716340e-02 -1.383949e-02 1.668850e-02 3.724941e-02 -5.321729e+00 9.489838e+00 6.456847e+00 915 5.872278e-03
10 1.066138e-02 -1.863257e-02 4.102646e-02 1.071552e-02 -1.884161e-02 4.110628e-02 3.294271e+00 -1.272103e+01 4.857512e+00 2943 1.820415e-02
11 -1.938975e-02 8.558043e-03 4.421689e-02 -1.987376e-02 8.708199e-03 4.397043e-02 -1.957771e+01 6.073610e+00 -9.968959e+00 923 5.241260e-03
12 -2.147568e-02 -1.341080e-04 5.586747e-02 -2.166755e-02 1.018055e-04 5.568333e-02 -9.201810e+00 1.131391e+01 -8.830692e+00 1254 7.591943e-03
13 -1.051190e-02 1.879248e-02 2.031313e-02 -1.062005e-02 1.919441e-02 1.992125e-02 -4.643400e+00 1.725683e+01 -1.682546e+01 338 2.273875e-03
14 -2.156283e-02 7.319533e-04 4.206740e-02 -2.161967e-02 6.443105e-04 4.206773e-02 -9.098309e+00 -1.402907e+01 5.253201e-02 1381 8.767916e-03
15 -1.440834e-02 1.596540e-02 1.957028e-02 -1.436436e-02 1.617368e-02 1.941220e-02 2.627104e+00 1.244140e+01 -9.442912e+00 945 5.856499e-03
16 -4.864341e-03 1.442892e-02 1.913037e-02 -4.744266e-03 1.440529e-02 1.898332e-02 8.061382e+00 -1.586435e+00 -9.872637e+00 647 3.708799e-03
17 -2.776379e-03 -1.792882e-02 6.342210e-02 -2.637471e-03 -1.807330e-02 6.355225e-02 9.952128e+00 -1.035122e+01 9.324543e+00 2746 1.811948e-02
18 3.520754e-03 2.120849e-02 3.100840e-02 3.634140e-03 2.128391e-02 3.078932e-02 9.415259e+00 6.262431e+00 -1.819192e+01 885 5.914375e-03
