/n/home03/calmiller/DSMC_Simulations/4_8_20_Yuiki_cell/flow_4.000_gap_0.000_len_0.000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
3 1.519873e-03 -4.584033e-03 1.004265e-01 5.832121e-03 -1.506294e-02 1.689267e-01 6.856823e+00 -1.666231e+01 1.089208e+02 6873 2.926773e-03
12 -5.669862e-03 4.708631e-03 9.749538e-02 -1.874115e-02 1.176106e-02 1.610824e-01 -1.692263e+01 9.130359e+00 8.232240e+01 27902 1.199702e-02
16 2.537553e-04 1.421088e-04 9.572678e-02 3.163193e-03 -2.038694e-03 1.626871e-01 4.394977e+00 -3.294306e+00 1.011498e+02 8498 3.758630e-03
18 3.635059e-03 1.845828e-03 1.082670e-01 6.078353e-03 2.871551e-03 1.432915e-01 6.939854e+00 2.913432e+00 9.948256e+01 10923 4.851947e-03
21 3.910569e-03 -9.658127e-03 1.175984e-01 5.235989e-03 -1.454025e-02 1.408209e-01 6.689797e+00 -2.464154e+01 1.172108e+02 5892 2.749611e-03
25 -5.433316e-03 5.238208e-04 1.053687e-01 -8.860085e-03 8.382969e-05 1.259664e-01 -2.020483e+01 -2.594265e+00 1.214473e+02 9217 4.174784e-03
29 -2.250637e-03 -1.091734e-02 9.938687e-02 -3.943677e-03 -2.212901e-02 1.317306e-01 -5.337054e+00 -3.534308e+01 1.019588e+02 15885 7.057086e-03
42 1.653984e-03 -8.739981e-03 9.562536e-02 2.525090e-03 -1.630398e-02 1.215110e-01 3.553442e+00 -3.085530e+01 1.055935e+02 6961 3.121828e-03
44 2.573697e-03 -3.379281e-03 1.053277e-01 3.684511e-03 -8.438556e-03 1.646548e-01 1.968705e+00 -8.966593e+00 1.051459e+02 13003 5.752110e-03
49 1.222088e-03 1.174986e-02 9.731972e-02 2.907416e-03 3.268143e-02 1.518570e-01 3.071823e+00 3.815169e+01 9.940437e+01 8616 3.945524e-03
67 5.199998e-03 -1.190985e-03 1.182894e-01 2.681283e-02 -1.192126e-03 2.731003e-01 1.636484e+01 -8.645840e-04 1.172200e+02 16076 7.113839e-03
