/n/home03/calmiller/DSMC_Simulations/5_13_20_density_control/flow_2.000_gap_0.007_len_0.000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
47 -2.782059e-03 2.138391e-02 3.531059e-02 -2.875724e-03 -2.446024e-02 -9.080821e+00 -1.614479e+01 -7.455568e+00 -9.116131e+00 520 3.675662e-03
52 4.960038e-03 2.096852e-02 3.311674e-02 -7.561248e-03 -2.226363e-02 -4.992793e-01 -7.062210e+00 -2.447361e+00 -5.323960e-01 1708 1.233650e-02
59 -1.252966e-02 -1.756985e-03 1.725418e-02 1.490018e-02 1.500441e-03 -6.505372e+00 5.973132e+00 -8.262886e-01 -6.522627e+00 819 5.562328e-03
217 1.294627e-02 1.506559e-03 7.783787e-02 3.649013e-02 6.470495e-03 1.063135e-01 1.824981e+01 4.061474e+00 2.665931e+01 1314 9.171607e-03
273 2.149001e-02 1.842007e-03 3.085368e-02 -2.579449e-02 -2.097326e-03 2.021135e+01 -1.091912e+01 -6.148849e-01 2.018050e+01 219 1.591823e-03
328 7.290236e-04 -2.157064e-02 4.834064e-02 -2.083926e-03 2.686606e-02 -5.153826e+00 -3.785672e+00 1.371402e+01 -5.202167e+00 1636 1.166908e-02
336 2.285221e-02 -1.794025e-02 1.136247e-01 2.240824e-02 -1.671109e-02 6.243343e-01 -1.507075e+01 1.178006e+01 2.711675e+01 2823 2.091950e-02
340 -1.016231e-02 7.457503e-03 1.612667e-02 1.121566e-02 -7.670340e-03 8.422807e-01 2.388717e+00 -1.704188e-01 8.261541e-01 1697 1.260552e-02
379 -1.842428e-02 -1.116511e-02 4.458459e-02 2.080095e-02 1.193102e-02 2.193250e+01 5.649944e+00 1.518698e+00 2.188791e+01 631 4.121338e-03
394 -2.090881e-02 -5.376714e-03 3.202185e-02 2.262619e-02 5.575237e-03 -8.824017e+00 3.643795e+00 2.502021e-01 -8.856038e+00 929 6.712452e-03
395 -1.947707e-02 -9.311439e-03 4.453071e-02 1.970804e-02 1.127185e-02 -4.427025e+00 -4.728178e-01 5.000461e+00 -4.471556e+00 985 6.928322e-03
512 1.015785e-02 -1.900725e-02 4.077931e-02 -1.056800e-02 2.088939e-02 1.763888e+01 -5.718576e-01 4.219129e+00 1.759810e+01 759 5.204918e-03
536 -1.490443e-02 1.556684e-02 2.817606e-02 1.844000e-02 -1.334725e-02 8.029390e+00 9.127356e+00 7.170070e+00 8.001214e+00 720 4.986625e-03
544 -5.253515e-03 1.723579e-02 9.644486e-02 -1.240567e-02 3.334624e-02 2.257676e-01 3.950313e+00 -1.249563e+01 3.192523e+01 1313 9.528129e-03
598 -1.212936e-02 2.209615e-02 7.864459e-02 -2.417524e-02 4.195349e-02 9.987186e-02 1.434547e-01 -9.589999e-01 9.969034e+00 812 6.963021e-03
672 1.835398e-02 -1.130444e-02 3.913719e-02 -2.318442e-02 1.328773e-02 5.706260e+00 -1.258624e+01 4.949923e+00 5.667123e+00 761 5.813125e-03
