/n/home03/calmiller/DSMC_Simulations/5_25_20_cold_second_stage/flow_2.000_gap_0.00100_len_0.000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
62506 2.988468e-03 -7.365484e-03 8.724206e-02 1.939825e-02 -3.851162e-02 1.470183e-01 4.378589e+00 -8.310660e+00 1.594997e+01 1033 7.527670e-03
50080 4.512582e-03 1.539241e-03 9.545591e-02 5.662456e-02 3.689975e-02 3.583827e-01 5.516138e+00 3.742968e+00 2.783123e+01 1057 6.224146e-03
87581 4.624863e-03 3.282964e-03 9.213806e-02 3.148999e-02 -1.554834e-03 2.588801e-01 2.825786e+00 -5.088598e-01 1.753862e+01 568 4.006824e-03
62606 -7.579121e-03 1.045898e-03 9.833452e-02 -4.626902e-02 4.692920e-06 2.592162e-01 -5.831153e+00 -1.569253e-01 2.424730e+01 2758 1.986968e-02
75112 -8.305794e-03 -7.819395e-03 1.196111e-01 -3.656103e-02 -2.661720e-02 2.696281e-01 -2.971613e+00 -1.976972e+00 1.577734e+01 680 6.841995e-03
87784 -7.152266e-03 1.532211e-02 1.040053e-01 -3.690970e-02 9.851657e-02 2.479084e-01 -3.378289e+00 9.444867e+00 1.633698e+01 1095 8.117625e-03
627 -2.402848e-03 1.598092e-02 1.044343e-01 -2.468671e-02 1.023014e-01 2.843698e-01 -2.049084e+00 7.937490e+00 1.654573e+01 2250 1.784756e-02
25561 -5.748172e-03 -3.626827e-04 1.007998e-01 -4.933424e-02 1.018633e-02 3.138858e-01 -2.710600e+00 6.560386e-01 1.325173e+01 2341 1.726966e-02
13048 1.343937e-02 1.727852e-02 1.181366e-01 3.219497e-01 3.052351e-01 1.222353e+00 2.448482e+00 2.285357e+00 8.763575e+00 704 1.062705e-02
50575 -9.248626e-03 -5.018772e-03 2.043298e-01 -2.968010e-01 -1.554316e-01 4.384611e+00 -2.025840e+00 -1.059676e+00 2.945057e+01 604 7.691671e-03
75588 -1.632672e-03 -7.087723e-03 1.018164e-01 1.951181e-03 -8.774048e-02 3.461077e-01 1.295691e-01 -2.915885e+00 8.832001e+00 1520 1.300416e-02
88159 1.618060e-02 3.762498e-03 2.294419e-01 7.446960e-01 -1.823477e-01 5.302107e+00 1.903057e+00 -4.861645e-01 1.325102e+01 759 1.580273e-02
25770 -3.834381e-03 -1.116762e-02 2.002645e-01 -1.204936e-01 -4.602725e-01 4.606594e+00 -7.232483e-01 -2.784300e+00 2.731777e+01 899 9.936645e-03
13264 -8.094936e-03 -2.762780e-02 2.646130e-01 5.292453e-01 -1.921807e+00 9.270342e+00 6.535761e-01 -2.303922e+00 1.095382e+01 1429 2.907306e-02
63291 -2.145597e-02 9.901116e-03 1.325604e-01 -1.533757e+00 8.732573e-01 4.285007e+00 -6.528983e+00 3.727325e+00 1.792715e+01 756 7.309160e-03
38302 2.566363e-02 9.782601e-03 1.145793e-01 4.795386e-01 1.425004e-01 8.122092e-01 6.787856e+00 1.984841e+00 1.043329e+01 1974 1.486460e-02
75862 -6.574768e-03 3.221511e-03 9.058876e-02 -4.602279e-02 2.288234e-02 2.015888e-01 -8.732371e+00 4.352199e+00 2.457142e+01 2083 1.436133e-02
1230 2.288842e-02 1.109634e-02 1.984799e-01 4.215446e-01 2.091153e-01 2.938688e+00 3.592728e+00 1.784566e+00 2.469502e+01 1032 1.201877e-02
1248 2.302033e-03 1.336069e-02 9.988386e-02 4.998006e-03 3.994160e-02 1.427985e-01 9.830982e-01 9.692842e+00 1.564901e+01 493 4.500570e-03
38373 1.116106e-02 -1.486840e-02 1.378683e-01 4.215817e-02 -9.656616e-02 4.871097e-01 1.155598e+00 -3.045760e+00 1.302001e+01 814 1.091639e-02
38423 -5.169882e-03 -1.207866e-02 1.157115e-01 -1.547895e-01 -2.519521e-01 9.710319e-01 -2.994070e+00 -4.800157e+00 1.711599e+01 3095 2.031342e-02
25968 1.340259e-03 1.161458e-02 1.177511e-01 -2.097598e-04 9.859796e-02 4.495018e-01 -1.240769e-01 6.962902e+00 2.655619e+01 1689 1.126647e-02
1398 8.341136e-03 -8.558287e-03 2.219158e-01 1.913488e-01 -1.613731e-01 3.748307e+00 2.461939e+00 -2.055765e+00 4.743932e+01 1315 1.137091e-02
88642 8.390984e-03 5.393936e-03 1.019869e-01 1.854510e-01 2.046573e-01 8.215256e-01 3.446267e+00 3.878428e+00 1.400498e+01 2327 1.792368e-02
88652 -7.640076e-03 -1.387778e-02 9.734786e-02 -7.042218e-02 -1.662384e-01 3.884165e-01 -5.520179e+00 -1.339646e+01 2.559251e+01 530 3.529614e-03
51177 2.032358e-02 1.842747e-04 1.264653e-01 6.032269e-01 -5.206870e-02 1.758149e+00 9.937771e+00 -8.908477e-01 2.781815e+01 624 4.908777e-03
38664 1.104529e-02 2.376833e-02 1.874596e-01 1.333868e+00 2.704412e+00 1.050998e+01 3.584571e+00 7.263976e+00 2.797184e+01 2092 1.614158e-02
88700 5.474364e-03 -1.767240e-03 1.021396e-01 5.554320e-02 -6.330271e-03 4.111421e-01 5.124564e+00 -4.670279e-01 3.162652e+01 2467 1.656293e-02
1857 8.230813e-03 -9.106878e-04 1.770625e-01 2.628779e-01 8.745245e-02 5.726298e+00 1.099668e+00 3.815874e-01 2.396382e+01 1072 1.140247e-02
26409 2.274230e-02 1.825846e-02 1.348814e-01 1.734195e-01 1.290979e-01 5.244355e-01 8.670587e+00 6.378158e+00 2.241654e+01 1494 1.204109e-02
51452 -2.317051e-03 6.533924e-03 1.103961e-01 -5.116210e-02 5.542803e-02 4.968485e-01 -3.395423e+00 3.398833e+00 2.686392e+01 1673 1.129710e-02
13971 1.160329e-02 1.385955e-02 1.432208e-01 1.560810e-01 2.269791e-01 1.171433e+00 3.569491e+00 5.265368e+00 2.540320e+01 734 6.626382e-03
2240 -5.334084e-03 -1.961557e-03 1.700794e-01 -1.034238e-01 -1.543952e-02 2.993941e+00 -1.171102e+00 -1.609147e-01 3.371434e+01 3779 2.756627e-02
51551 1.348872e-02 1.331152e-03 1.343196e-01 1.029112e-01 8.197391e-03 5.607401e-01 6.407550e+00 4.919991e-01 3.055509e+01 1700 1.284350e-02
76574 -1.320732e-02 -1.395428e-03 1.387993e-01 -1.086791e-01 6.205082e-04 6.899299e-01 -5.107752e+00 1.078528e-01 2.948554e+01 1513 1.145916e-02
89166 2.133615e-02 1.148291e-03 1.411220e-01 5.827869e-02 1.028205e-02 2.437398e-01 8.506420e+00 2.103147e+00 2.362886e+01 3458 2.385833e-02
64250 -2.655573e-02 -3.030965e-03 1.225929e-01 -3.058652e-01 -1.710306e-02 6.190988e-01 -8.207382e+00 -4.135020e-01 1.458960e+01 807 7.839041e-03
2645 -2.195570e-02 5.559183e-03 1.835835e-01 -3.579011e-02 3.515031e-03 2.499051e-01 -6.490334e+00 -9.590016e-01 3.111439e+01 1026 9.632681e-03
39332 -1.163453e-02 -6.760631e-03 1.167394e-01 -8.439170e-02 -5.415103e-02 3.952377e-01 -7.360887e+00 -4.794516e+00 2.817585e+01 1564 1.135774e-02
2771 2.748248e-03 9.123916e-03 1.134793e-01 1.374436e-01 4.778902e-01 1.700564e+00 1.328399e+00 4.623089e+00 1.565222e+01 1629 1.145157e-02
39410 4.259468e-03 -4.691533e-03 1.517585e-01 -2.625687e-02 -5.132567e-02 8.173862e-01 -1.327664e+00 -2.028895e+00 2.895924e+01 1529 1.196612e-02
2883 -8.192385e-03 -1.435877e-03 9.515327e-02 -3.627096e-02 -1.046917e-02 1.547752e-01 -1.055396e+01 -3.395365e+00 2.241024e+01 1565 9.950179e-03
2964 -3.172213e-03 -4.279932e-03 9.121011e-02 -8.477005e-02 -7.079132e-02 3.523888e-01 -6.883361e+00 -5.610712e+00 2.203229e+01 1955 1.212792e-02
52047 -7.394642e-03 -1.825172e-03 9.700975e-02 -4.974724e-02 -2.903071e-03 3.430461e-01 -5.468302e+00 -1.391717e-01 3.176667e+01 1268 7.967777e-03
52060 7.118166e-03 6.257098e-03 1.766939e-01 5.447660e-02 5.235451e-02 8.232377e-01 2.823495e+00 2.748313e+00 3.854674e+01 2052 1.449466e-02
89574 9.916223e-03 6.320145e-03 1.289734e-01 2.604693e-02 2.471711e-02 2.343847e-01 2.473620e+00 2.821146e+00 1.616467e+01 912 8.808218e-03
89644 8.763248e-03 8.377005e-03 1.218281e-01 2.733849e-02 3.773558e-02 4.137530e-01 1.254855e+00 1.983326e+00 1.972106e+01 1198 1.036607e-02
27190 9.957054e-04 -8.965158e-04 1.105842e-01 3.815742e-03 4.541378e-03 3.782570e-01 3.723902e-01 7.180823e-01 3.534661e+01 4204 2.701006e-02
52166 4.616703e-03 -2.472314e-03 8.668671e-02 2.129475e-02 -2.721031e-02 1.607330e-01 6.358779e+00 -9.431767e+00 2.823137e+01 944 5.976368e-03
27204 -5.623040e-03 -7.357381e-03 8.585088e-02 -2.083088e-02 -2.504384e-02 1.095019e-01 -5.375727e+00 -6.251882e+00 8.360264e+00 860 6.647636e-03
27297 -1.107807e-02 -8.477314e-03 1.171407e-01 -2.190318e-01 -1.785441e-01 9.688312e-01 -8.241092e+00 -6.739653e+00 3.375203e+01 1014 7.151640e-03
52275 4.238738e-03 3.137663e-03 9.310113e-02 1.390175e-01 5.608554e-02 4.342135e-01 6.885294e+00 2.704890e+00 1.742603e+01 1097 7.533090e-03
77349 9.369731e-04 -1.997236e-02 1.189835e-01 1.910761e-02 -4.742067e-01 1.104648e+00 4.278019e-01 -1.069430e+01 2.320608e+01 616 5.605219e-03
52388 -7.671007e-03 -6.625180e-03 1.607288e-01 -2.603271e-01 -5.131947e-02 2.539681e+00 -3.888819e+00 -6.879232e-01 3.661623e+01 559 4.993495e-03
39881 -1.400959e-02 9.098870e-03 1.766573e-01 -9.269484e-01 4.111191e-01 3.664335e+00 -4.969697e+00 2.188448e+00 1.898561e+01 1450 1.454469e-02
3553 -2.712346e-03 -9.585100e-03 9.907333e-02 -9.784870e-03 -3.106274e-02 1.618733e-01 -2.593606e+00 -7.876187e+00 2.302975e+01 707 5.138851e-03
14962 -1.742697e-02 -6.436552e-04 1.555214e-01 -5.767022e-01 -1.698993e-01 3.322963e+00 -4.003867e+00 -1.211706e+00 2.267580e+01 1038 9.210832e-03
