r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.008749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.02275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.02625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.02975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.03325,98.0,4.371266426616998e-6,1.2191925387785851e-11,0.0028040072176828516,-3.171451390096046,3.5331725669543186,27.620749751645057,0.38257697110119204
0.00015,0.03675,415.0,5.881501323414607e-6,8.73321110352617e-11,-0.19133120532573056,12.244552291344002,2.1729292344708266,201.77197681480214,-2.3975733572664346
0.00015,0.04025,23.0,1.3104434588468755e-5,7.993725466017927e-11,-0.8287027554504092,23.644526101371532,2.0863669161138163,576.4664480101337,-21.10181172946591
0.00015,0.04375,15.0,2.7013661503499903e-5,7.002983084960372e-10,0.2567155085924221,22.906097276034565,2.382575148806562,534.4765832160817,8.780689414479474
0.00015,0.04725,16.0,9.790799009634457e-5,2.135087968191451e-8,1.3134442160078996,16.320961476327465,5.551665389967929,302.03453693734383,13.042982573442838
0.00015,0.050749999999999997,18.0,0.00018055980286776856,2.0386837310127823e-8,-2.0913731762332723,16.05194434443832,10.01202967087115,279.24239990351873,-30.196891859613583
0.00015,0.05425,6.0,9.070201767729414e-5,1.2313727645149058e-9,0.7421593820075858,17.374629920020453,3.9831062027514106,311.7906990990092,13.541029778720972
0.00015,0.057749999999999996,3.0,0.00013469113153630134,2.7739935321108326e-9,0.884060247777175,13.282925337918494,1.2185019753849495,194.88487056838864,12.897607703904965
0.00015,0.06125,7.0,0.0001950386200220632,2.6999451975451696e-8,0.9370877272432754,17.772774280418794,8.469734304440452,344.82402637994073,18.56836051618874
0.00015,0.06475,7.0,0.00017047431932615785,2.9031440944577422e-8,-0.519554583617921,20.694220275441307,4.162632060460641,458.2232689191541,-3.4217710427648793
0.00015,0.06824999999999999,7.0,0.0004002015016355629,4.614884228354256e-8,-1.2144614937682563,20.96760195294564,4.594534650791957,451.57055763013364,-23.977161821740946
0.00015,0.07175,2.0,0.0010568959776813898,1.7748499075498875e-13,-3.873149161777139,11.038371732363693,15.332747833672858,123.14086675640777,-42.098037520724056
0.00015,0.07525,1.0,0.0004274346520326987,0.0,-2.2887701343449316,19.402037141036708,5.238468727869316,376.43904522216786,-44.40680315385594
0.00015,0.07875,5.0,0.00033190007875094326,7.317794260239376e-8,1.7898878812896313,22.146512161820507,7.3431787005308005,504.06865002003366,38.059268154428096
0.00015,0.08225,4.0,0.00021618643093241556,1.0731358807766654e-10,-0.6630869447199388,18.564428290765015,0.47866798257770415,347.2665758857963,-12.257608925069222
0.00015,0.08574999999999999,8.0,0.00020643023878459313,4.387311555033171e-9,-0.9023154358234748,21.17714404094606,4.5375457755282245,485.6517270756108,-27.33132285991408
0.00015,0.08925,3.0,0.00026173358877142067,1.3647570052448243e-8,-1.0422711017843178,17.350003097816668,3.1566470310575663,302.6308298188252,-19.89730775607201
0.00015,0.09275,1.0,0.0004059188112600186,0.0,2.485429808950525,18.017363366091935,6.177361335219844,324.6253826657917,44.780891988778066
0.00015,0.09625,1.0,9.201438792637469e-5,0.0,-0.9055234082536425,24.30171703819521,0.8199726428952929,590.5734510045074,-22.005773638842143
0.00015,0.09974999999999999,6.0,0.00014453159625623307,7.532813746964007e-9,-1.060507208350376,22.10622500800636,3.4964513261180667,502.7560928711192,-28.754253914963954
0.00015,0.10325,11.0,0.0006407836806600819,6.622975073923556e-8,-0.9946832587253457,6.634151490676465,11.891664778546064,63.78782435655467,5.762091370044263
0.00015,0.10675,4.0,0.0004972587560657303,4.0788831252589584e-8,1.0194284105607472,14.333517128712103,8.80393661284645,214.68006619156637,9.703054389976867
0.00015,0.11025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11374999999999999,2.0,0.00013660585290490752,2.782915226172273e-9,2.13837921831475,23.018167312377592,7.495668168158882,559.9914611551819,58.61009610619739
0.00015,0.11725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12775,1.0,0.0007740256066319623,0.0,2.6204581535995333,16.068273793528494,6.8668009347662755,258.1894227037946,42.10623907652145
0.00015,0.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
