r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov
0.00015,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.008749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01225,38.0,8.8921576592156e-5,4.989230590248182e-9,-0.6091922512096352,-18.567967220511633,91.43886900187711,431.0922053420746,13.344460318082058
0.00015,0.01575,181.0,7.511598629173749e-5,3.0024437410217223e-9,-0.037378606376240894,-14.696930521202889,95.38547431914994,365.8596736715993,10.121987357621173
0.00015,0.01925,256.0,6.679154104799352e-5,2.6594081507684374e-9,0.45052341496783616,-13.811519044493194,84.43698460286028,379.78023540585605,-8.396620090931767
0.00015,0.02275,475.0,6.492440286456943e-5,3.5748235772710026e-9,0.8357170822237551,-11.855706567880674,80.41011743675202,307.3641261929348,-11.702249978020262
0.00015,0.02625,961.0,4.7812740042127366e-5,1.8542861417725513e-9,0.2770532134454446,-12.867654454195263,72.55564119412912,349.3043383915303,-3.455432239710735
0.00015,0.02975,2720.0,3.1566591856062724e-5,1.363512699759086e-9,-0.22526097718808824,-14.16362303681017,54.54165232631274,373.316566297577,-0.6865410255847185
0.00015,0.03325,197187.0,3.4049049725360533e-6,5.969880476069565e-11,0.014515245906524638,-9.12268822719429,24.844655140841645,181.3798836609136,-0.20974122304132983
0.00015,0.03675,196150.0,3.4327443561371987e-6,6.625441142297998e-11,-0.004557433127347884,9.501669604097255,24.636331666721137,189.20798787112506,0.027111465795447907
0.00015,0.04025,2787.0,3.100860049584795e-5,1.3339214866741974e-9,0.14620154507745595,15.212786652339975,57.282701760893865,402.9308742537393,1.8748101820621352
0.00015,0.04375,1039.0,5.096232304469828e-5,2.5835272559553712e-9,0.3232742590713247,13.574680294579002,60.64001570375845,368.2427728526604,9.78388882158673
0.00015,0.04725,569.0,5.934512590391324e-5,2.1462163855089138e-9,0.29086271971696465,12.625166366212524,67.47765283940487,332.3354438876318,-2.0499050680129796
0.00015,0.050749999999999997,327.0,7.33906631717129e-5,3.0824451721916316e-9,-0.21606854285987478,13.119265679549049,76.03858640431399,364.26635545849473,-9.315033844580114
0.00015,0.05425,215.0,9.143973342779898e-5,5.119699672636045e-9,0.9169102906069743,13.69071276919999,98.4990061068919,406.9263925108935,5.345879374106653
0.00015,0.057749999999999996,174.0,9.690981185515663e-5,5.236154136714982e-9,0.2931609903414562,13.977960624325107,83.40961736161132,378.8720708418041,-7.66043529206964
0.00015,0.06125,110.0,0.00010000661149314307,3.943835992400031e-9,-1.44343994954769,16.14462169791162,74.5497184772325,473.9455004346829,-15.975287822775728
0.00015,0.06475,66.0,9.958066093042979e-5,3.9100746781633274e-9,-1.5086912053457322,20.859243535902845,81.94325659488403,600.1328532819726,-12.737687648996634
0.00015,0.06824999999999999,25.0,9.04824204009839e-5,3.083161524091331e-9,0.4633148824372139,29.556353058662218,32.97789436007809,1050.2191838089502,-11.91516537222398
0.00015,0.07175,13.0,9.097197054287317e-5,1.857256734824174e-9,-0.8033205219381424,25.283620399259675,56.751090421446776,708.3030890555314,-69.87663745045613
0.00015,0.07525,9.0,9.714446728921792e-5,2.0995272003759855e-9,0.2515161590447502,30.29003747810793,82.52177380692632,976.0263552829007,5.849005989949939
0.00015,0.07875,8.0,0.00011976673204492397,2.513030276543769e-9,-0.5584480533103576,18.194517587117133,8.405951347793426,591.2131779034769,13.477813294009735
0.00015,0.08225,10.0,8.324915199924589e-5,1.290716794844927e-9,0.2910868288649068,29.18257205395831,24.13071051672518,910.7002571971655,6.0368568147664
0.00015,0.08574999999999999,10.0,9.961505202845107e-5,1.4312831322546771e-9,2.709800844066441,17.450594219731133,52.61226396718335,670.2242251861437,112.59870017109645
0.00015,0.08925,6.0,0.0002352135272418332,8.491475175335452e-8,-2.7934219293501723,16.98377119530079,40.55397553836729,434.3182426371608,1.794102204954056
0.00015,0.09275,2.0,9.172831041618165e-5,2.60551293545795e-9,-1.6169422118279115,22.006592822287217,2.8042958706488617,557.6493023227733,-39.31475767950698
0.00015,0.09625,5.0,0.00017574777086038816,1.403899500364363e-8,-3.451392389804605,17.878327158317994,34.75181434044555,328.64276663058774,-48.51814548877009
0.00015,0.09974999999999999,1.0,8.122402911103916e-5,0.0,-3.5292533249281943,11.328498610531852,12.455629031516715,128.3348807688221,-39.98114138766397
0.00015,0.10325,1.0,7.928811380945836e-5,0.0,-1.5036445653545432,19.42663589773596,2.260946978920253,377.3941823032034,-29.210755490752152
0.00015,0.10675,7.0,0.0001141607912048659,1.2009055342671993e-9,0.06118468158524898,14.43450325242584,5.142541042580577,230.09847363663565,-0.8629356325157227
0.00015,0.11025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11374999999999999,1.0,0.00016713740577768818,0.0,-6.194076722954796,28.775631029142946,38.36658644985043,828.0369411253744,-178.2384663459501
