/n/home03/calmiller/DSMC_Simulations/5_29_20_cold_guided/flow_4.00000_gap_0.00100_len_0.04000_T1_2.00000_T2_2.00000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
751178 -1.688534e-02 -9.239271e-03 2.311814e-01 -2.460305e+00 -8.968303e-01 1.526205e+01 -6.097578e+00 -2.214993e+00 3.750969e+01 257 8.214546e-04
752190 3.142998e-03 -1.646058e-02 3.281503e-01 1.720138e+00 -2.397675e+00 3.029119e+01 1.656661e+00 -2.297539e+00 2.891016e+01 86 5.533940e-04
877349 -1.343859e-02 -2.162651e-02 1.825414e-01 -5.902921e-01 -1.632639e+00 4.507549e+00 -3.293858e+00 -9.198946e+00 2.469598e+01 52 2.627216e-04
128907 -1.147534e-03 1.382461e-02 2.058784e-01 2.887000e-01 7.211850e-01 3.619775e+00 1.509125e+00 3.682954e+00 1.777485e+01 54 5.587358e-04
629051 -9.351040e-03 7.646502e-04 1.137237e-01 -5.283600e-01 -4.841917e-02 6.757508e-01 -1.274914e+01 -1.208171e+00 1.380585e+01 67 3.162750e-04
129175 -2.701007e-03 -4.474746e-04 1.331220e-01 -4.464395e-02 -4.599372e-02 8.015615e-01 -1.639730e+00 -1.780599e+00 2.613218e+01 60 2.353030e-04
504214 7.298805e-03 1.237726e-02 2.694731e-01 3.313174e+00 2.623507e+00 2.859871e+01 3.037667e+00 2.399287e+00 2.603087e+01 146 8.033086e-04
378992 8.823317e-04 -4.708074e-03 1.269767e-01 -6.948268e-03 -8.942119e-02 4.550141e-01 -5.236721e-01 -5.665198e+00 2.193753e+01 154 4.621988e-04
15040 -3.443381e-04 2.773316e-02 2.014583e-01 1.010880e-01 6.013527e-01 2.713042e+00 9.324244e-01 5.273041e+00 2.308792e+01 58 3.688638e-04
885079 -1.792731e-02 -1.714201e-03 1.390426e-01 -8.611883e-01 -2.307600e-01 2.099173e+00 -8.306700e+00 -2.256259e+00 1.930863e+01 104 4.222150e-04
511600 -1.897609e-03 -7.386391e-03 2.196407e-01 -1.098022e+00 -1.269816e+00 1.949447e+01 -1.745748e+00 -2.010614e+00 3.069814e+01 16 1.975764e-04
513803 -1.183818e-03 4.095214e-03 1.138496e-01 4.116998e-02 2.525515e-02 2.709733e-01 5.537514e+00 2.766539e+00 2.054301e+01 43 1.871594e-04
23428 3.372880e-03 -8.807488e-04 1.315967e-01 1.073375e-01 -1.012260e-01 9.404396e-01 4.492957e+00 -4.336540e+00 3.495512e+01 81 2.818623e-04
766134 -2.375802e-03 1.693996e-02 1.339267e-01 -1.902534e-01 2.392357e+00 5.099292e+00 -7.059470e-01 8.925591e+00 1.865728e+01 154 5.216141e-04
143449 -3.380653e-04 2.231009e-03 1.187364e-01 6.867672e-03 -1.440624e-02 4.556692e-01 5.803866e-01 -1.340048e+00 2.713828e+01 36 1.571102e-04
771332 5.623485e-04 -5.795040e-03 1.417924e-01 -2.341029e-01 -4.550956e-01 2.412409e+00 -2.245309e+00 -4.298968e+00 2.172557e+01 135 4.592797e-04
646777 1.490431e-02 -6.274659e-03 1.631798e-01 4.334727e-01 -1.372938e-01 1.952115e+00 6.265141e+00 -1.961097e+00 2.677683e+01 99 4.046899e-04
147719 1.096731e-02 2.750171e-02 3.025022e-01 1.567418e+00 1.666328e-01 9.581473e+00 3.486245e+00 3.116352e-01 2.078367e+01 52 7.845208e-04
522731 -1.764484e-02 -1.112717e-02 1.968915e-01 -8.665804e-01 -7.486730e-01 4.970863e+00 -3.730627e+00 -3.241127e+00 2.097910e+01 157 7.101711e-04
896752 -1.081211e-02 1.909793e-02 2.343078e-01 -1.283732e+00 2.643879e+00 1.346190e+01 -2.762414e+00 5.696141e+00 2.870572e+01 37 2.816802e-04
522982 -2.861875e-03 -5.288518e-03 1.251187e-01 -1.841872e-01 -1.543108e-01 9.419162e-01 -5.578426e+00 -4.584632e+00 2.512856e+01 308 8.285618e-04
272075 2.610368e-03 -9.171714e-03 1.362788e-01 1.549845e-02 -3.083059e-01 1.296536e+00 2.408791e-01 -5.590835e+00 2.168528e+01 59 2.845408e-04
397805 -2.471611e-02 -4.330969e-03 1.615972e-01 -8.478053e-01 -1.403597e-01 1.813942e+00 -9.321085e+00 -1.540460e+00 1.871200e+01 257 8.383811e-04
773776 2.686459e-03 -8.900012e-03 1.724861e-01 -1.777064e-01 -8.252172e-01 5.837913e+00 -1.005998e+00 -4.552361e+00 3.159442e+01 24 1.636634e-04
149159 -8.184230e-03 4.491211e-03 2.197936e-01 -1.226476e+00 1.177758e+00 1.977254e+01 -1.380780e+00 1.329750e+00 2.216056e+01 120 5.761033e-04
898707 1.163497e-03 6.660432e-03 1.253238e-01 4.919144e-03 2.958148e-01 1.372401e+00 7.931399e-02 6.106533e+00 2.633652e+01 19 9.305864e-05
775050 2.273784e-02 -1.409538e-02 3.128915e-01 2.718183e+00 -3.106780e+00 2.380208e+01 3.212757e+00 -3.686234e+00 2.799725e+01 67 4.727862e-04
150293 -1.545147e-04 -3.082426e-03 1.140769e-01 -1.726307e-02 -2.875122e-02 1.744699e-01 -4.064971e+00 -6.098873e+00 1.434929e+01 53 2.288857e-04
150440 -3.974018e-05 -4.793956e-03 1.152565e-01 7.438453e-02 -1.139655e-01 5.920422e-01 3.647623e+00 -5.350627e+00 2.336784e+01 109 3.433476e-04
776318 -4.545903e-03 1.827525e-04 1.114957e-01 -6.813807e-02 -4.439410e-02 3.683870e-01 -4.530015e+00 -3.175451e+00 1.829976e+01 72 3.075713e-04
777480 -1.347556e-02 1.027471e-02 1.334246e-01 -3.485626e-02 4.062882e-02 2.186792e-01 -3.366007e+00 4.778709e+00 1.342182e+01 74 5.447734e-04
527914 -1.398439e-03 2.367969e-04 1.326821e-01 -4.075229e-02 1.427363e-02 1.092251e+00 -1.318458e+00 4.702710e-01 3.214809e+01 32 1.081429e-04
156045 -1.603554e-02 4.496431e-03 1.570978e-01 -2.287567e-01 4.234034e-02 6.951023e-01 -6.327381e+00 1.125665e+00 1.600292e+01 99 6.127152e-04
46494 8.948205e-04 -1.591888e-03 1.223866e-01 1.554196e-02 8.623490e-04 4.005401e-01 1.489961e+00 2.496540e-01 2.829480e+01 58 1.788739e-04
157506 -1.021595e-02 4.136769e-04 2.419247e-01 -4.037666e-01 2.341217e-01 8.367294e+00 -1.385662e+00 8.228683e-01 2.860881e+01 22 3.036380e-04
906394 5.424366e-03 -3.966804e-03 1.366316e-01 1.318983e-01 -5.136014e-02 8.433969e-01 3.867426e+00 -1.449233e+00 2.161206e+01 76 3.768800e-04
50468 6.738891e-03 3.770918e-03 1.332607e-01 5.103067e-01 1.697186e-01 1.708442e+00 7.549647e+00 2.487939e+00 2.361562e+01 168 5.819933e-04
660934 -2.013411e-02 1.503818e-02 1.973933e-01 -1.305476e+00 1.282430e+00 6.650867e+00 -3.757205e+00 3.704732e+00 1.886425e+01 127 6.966830e-04
161453 7.998796e-03 1.677009e-03 2.958852e-01 6.824692e+00 4.101996e-01 7.630622e+01 2.586440e+00 1.550046e-01 2.884040e+01 47 4.233339e-04
910254 2.587542e-03 2.869840e-02 3.353795e-01 -1.046507e+00 7.900890e+00 4.749266e+01 -6.510673e-01 4.885477e+00 2.926578e+01 24 4.232414e-04
286829 5.455032e-03 5.065602e-03 1.747171e-01 4.620628e-01 1.578866e+00 1.843197e+01 6.846332e-01 2.359740e+00 2.737475e+01 43 2.858479e-04
414355 3.963008e-03 3.716105e-03 1.243844e-01 1.216209e-01 1.319787e-01 1.939484e+00 1.821359e+00 1.985520e+00 2.809796e+01 36 1.744042e-04
60268 -2.265946e-03 1.478649e-02 1.796068e-01 -2.312010e-01 6.241474e-01 3.093892e+00 -1.989378e+00 5.295164e+00 2.532427e+01 145 4.942876e-04
666351 -1.347922e-03 2.400537e-03 1.227041e-01 3.940361e-03 -2.836939e-02 6.314193e-01 3.399762e-01 -1.978155e+00 3.270458e+01 18 7.359754e-05
914626 -1.064991e-02 2.611182e-02 2.585667e-01 -2.185090e-02 7.115205e-02 4.371416e-01 -1.577093e+00 6.341637e+00 2.514324e+01 73 4.989029e-04
541922 3.391819e-03 -4.848263e-03 1.174239e-01 7.197122e-02 -2.316935e-02 3.253293e-01 9.342069e+00 -2.495747e+00 2.832142e+01 96 3.149406e-04
167841 -1.698826e-02 -1.655837e-02 1.860821e-01 -1.335195e+00 -2.263138e+00 8.539591e+00 -4.243984e+00 -7.232891e+00 2.689423e+01 61 3.035760e-04
416762 1.825692e-04 -2.058441e-02 2.134680e-01 4.360244e-02 -1.044309e+00 6.018957e+00 1.704949e-01 -4.019815e+00 2.279616e+01 46 4.519676e-04
917642 -2.595824e-03 -4.092508e-03 2.176918e-01 1.238814e+00 3.513121e+00 5.330214e+01 7.460812e-01 2.113829e+00 3.190350e+01 98 3.907930e-04
65493 1.678241e-03 1.307656e-03 1.114152e-01 3.059605e-02 5.466785e-03 2.030306e-01 6.324363e+00 9.096067e-01 2.003642e+01 168 4.252749e-04
794914 5.850964e-03 2.777855e-04 1.721893e-01 9.341578e-02 -3.029060e-02 1.719002e+00 1.600631e+00 -5.587712e-01 2.827478e+01 38 1.873201e-04
