/n/home03/calmiller/DSMC_Simulations/5_29_20_cold_guided/flow_4.00000_gap_0.00100_len_0.08000_T1_2.00000_T2_0.50000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
250377 -9.671830e-03 2.666718e-02 1.880335e-01 -2.745038e-02 8.294470e-02 2.928559e-01 -4.745537e+00 1.502187e+01 2.797972e+01 16609 7.283519e-02
250977 6.947498e-03 -2.082899e-02 2.499108e-01 2.569089e-02 -2.449576e-01 1.376206e+00 6.797509e-01 -8.128288e+00 4.084640e+01 14059 5.467638e-02
377396 -4.060434e-03 1.212505e-02 1.592836e-01 -6.568155e-03 4.645770e-02 2.024435e-01 -1.273748e+00 1.743859e+01 2.192223e+01 6654 2.917625e-02
252988 -1.194267e-02 -6.156553e-03 1.787524e-01 -1.151801e-01 -1.406760e-01 5.483562e-01 -9.693728e+00 -1.263103e+01 3.470485e+01 12832 5.799307e-02
253212 -1.754949e-02 1.266954e-02 2.042006e-01 -5.971664e-02 5.861747e-02 3.799126e-01 -7.070776e+00 7.704753e+00 2.946417e+01 9473 4.232393e-02
253765 9.684947e-03 -1.760046e-02 1.777746e-01 2.591061e-02 -4.513998e-02 2.244841e-01 9.199673e+00 -1.561443e+01 2.648351e+01 10286 4.399849e-02
5326 8.728720e-03 -2.244137e-02 1.535163e-01 2.273543e-02 -6.944131e-02 1.709970e-01 5.116425e+00 -1.716832e+01 6.385429e+00 9089 4.068726e-02
5891 1.445850e-02 1.699783e-02 1.740860e-01 2.541655e-02 3.497719e-02 2.022535e-01 9.488490e+00 1.556819e+01 2.438999e+01 10406 4.250531e-02
379673 1.641796e-02 -8.776392e-03 2.315922e-01 1.649510e-01 -6.335111e-02 9.270548e-01 7.652968e+00 -2.811890e+00 3.583279e+01 10264 4.790148e-02
379816 -2.879829e-02 1.902725e-03 2.257488e-01 -2.687347e-01 7.687735e-02 9.484673e-01 -1.034026e+01 3.231095e+00 3.114616e+01 8785 4.100903e-02
380685 -1.939995e-03 2.896345e-02 2.091494e-01 -6.392261e-03 4.603472e-02 2.387098e-01 -4.546657e+00 1.743319e+01 3.018705e+01 11638 5.003737e-02
381139 -1.188265e-02 -1.665411e-02 1.910754e-01 -1.008178e-01 -1.468210e-01 5.775868e-01 -7.510773e+00 -1.099288e+01 3.264174e+01 12507 5.406755e-02
381200 1.593252e-02 2.369916e-02 3.049152e-01 1.771986e-01 2.802475e-01 1.736704e+00 4.554576e+00 7.245594e+00 4.043747e+01 13993 6.307884e-02
882552 -8.616066e-03 1.070928e-02 1.681558e-01 -2.313550e-02 3.114583e-02 2.068155e-01 -9.938153e+00 1.398825e+01 2.646147e+01 11171 5.029866e-02
136231 -1.903725e-03 8.204876e-03 1.670563e-01 -3.360306e-03 8.871098e-02 3.578256e-01 -2.600838e-01 1.437499e+01 3.406335e+01 10064 4.427661e-02
637621 1.127703e-02 1.382646e-02 1.712184e-01 2.562571e-02 3.894403e-02 2.105481e-01 7.217113e+00 1.263365e+01 1.978210e+01 16556 6.844548e-02
763593 -1.591679e-02 -2.743811e-03 1.921298e-01 -1.121425e-01 -5.997015e-02 5.493018e-01 -8.529247e+00 -5.072423e+00 3.165898e+01 8732 3.873599e-02
138586 2.140709e-02 -1.361121e-02 1.964372e-01 2.909345e-02 -1.879701e-02 2.149704e-01 1.378032e+01 -9.297250e+00 3.322695e+01 10803 4.733447e-02
18150 -3.767873e-03 2.575687e-02 1.783699e-01 -2.466885e-02 1.497660e-01 3.073206e-01 -2.945520e+00 1.747628e+01 1.817269e+01 12583 5.379290e-02
264130 -5.156813e-03 1.002483e-02 1.645343e-01 -2.454559e-02 5.347763e-02 2.408377e-01 -5.441787e+00 1.219576e+01 2.141583e+01 8825 4.048656e-02
264232 1.563887e-02 1.179178e-02 2.150984e-01 3.471958e-01 1.628261e-01 1.550384e+00 8.288229e+00 3.775543e+00 3.337935e+01 11147 4.846778e-02
