running....
idx x y z xnext ynext znext vx vy vz collides time
37 1.814698e-02 -1.168417e-02 4.427848e-02 Inf -Inf Inf 9.726262e-01 -6.105352e-01 1.613039e+01 1522 4.820414e-03
91 1.016325e-02 6.800511e-03 1.958770e-01 6.295532e-01 3.097134e-01 6.534586e+00 3.803511e+00 1.860109e+00 3.892435e+01 3233 1.495931e-02
242 3.615702e-03 -8.700194e-04 1.075638e-01 3.391307e-02 6.733453e-04 3.770775e-01 4.699263e+00 2.393831e-01 4.180284e+01 6588 2.368289e-02
679 4.256540e-03 2.116109e-02 5.742958e-02 -Inf Inf -Inf -8.033353e+00 6.135023e+00 -8.048118e+00 8050 2.762106e-02
782 -7.117628e-03 1.421209e-02 1.547279e-01 -3.689316e-01 7.820707e-01 4.480848e+00 -3.582912e+00 7.603826e+00 4.284000e+01 7646 2.681080e-02
828 -3.469517e-03 -5.322166e-03 1.928149e-01 4.404010e-02 -1.836424e-01 4.056483e+00 4.193128e-01 -1.573828e+00 3.410016e+01 8117 3.115123e-02
981 -1.722908e-03 2.725551e-03 1.083009e-01 -2.089513e-01 -9.466825e-02 1.411883e+00 -6.217763e+00 -2.922243e+00 3.911320e+01 2584 9.001239e-03
1478 -2.022074e-02 7.440091e-03 3.887527e-02 -Inf -Inf Inf -5.749232e+00 -1.909754e-02 1.484552e+01 2408 8.695891e-03
1525 1.670195e-02 2.463191e-02 2.231386e-01 1.341658e+00 1.480930e+00 8.850252e+00 5.651106e+00 6.211294e+00 3.679572e+01 1613 9.063109e-03
1933 1.897861e-02 -1.029133e-02 2.999488e-02 Inf -Inf Inf 1.196216e+01 -1.111671e+01 5.546815e+00 8416 3.054900e-02
2168 4.249824e-03 2.113887e-02 4.755152e-02 Inf Inf Inf 3.723782e+00 6.805741e+00 5.328437e+00 2863 9.260151e-03
3160 -4.548111e-03 -1.181298e-03 1.020364e-01 -1.329123e-02 -3.166357e-02 2.529373e-01 -2.288251e+00 -7.977830e+00 3.949382e+01 3801 1.465815e-02
3536 -1.229575e-02 -2.087545e-02 1.428551e-01 -6.008953e+00 -9.884624e+00 2.137500e+01 -6.950134e+00 -1.143210e+01 2.460808e+01 1942 9.279872e-03
3746 1.229020e-03 -2.151420e-02 3.989921e-02 -Inf -Inf -Inf -6.604102e+00 -8.946286e+00 -5.130204e+00 2015 7.124850e-03
3818 -8.661991e-03 1.977613e-02 2.797686e-02 -Inf Inf Inf -5.415535e+00 8.635102e+00 2.082222e+01 1473 5.306446e-03
4264 -4.829610e-03 2.411182e-03 1.165118e-01 -4.961356e-02 1.496474e-01 7.317338e-01 -1.598873e+00 5.256616e+00 2.196461e+01 2643 1.069948e-02
4958 2.739252e-02 7.978838e-05 2.354202e-01 3.705494e+00 -4.318761e-01 2.238772e+01 6.580006e+00 -7.727553e-01 3.962975e+01 4112 1.795992e-02
6221 2.797787e-03 4.293189e-03 1.047407e-01 4.803444e-02 9.114312e-02 3.806809e-01 5.905420e+00 1.133783e+01 3.602262e+01 2183 8.188610e-03
6300 -6.786604e-03 2.048971e-02 4.865154e-02 -Inf Inf -Inf -7.550730e+00 1.282006e+00 -1.322925e+01 2606 8.721049e-03
6371 1.587925e-02 1.455111e-02 5.634324e-02 Inf Inf -Inf 8.280742e+00 9.060313e+00 -4.104478e+00 2141 7.782478e-03
6716 1.454100e-02 1.593803e-02 4.752678e-02 -Inf Inf Inf -1.419192e-02 2.148793e+00 4.190551e+00 3118 1.092506e-02
6851 4.035675e-04 -8.104343e-04 1.102180e-01 -4.483184e-03 2.423121e-02 4.247414e-01 -6.801928e-01 3.485576e+00 4.377890e+01 2218 8.418895e-03
6883 -5.391687e-03 -8.270728e-04 1.016282e-01 -7.063694e-02 -5.718750e-02 4.659075e-01 -4.670465e+00 -4.034461e+00 2.607628e+01 2860 1.061649e-02
7475 1.407755e-02 1.636463e-02 5.199658e-02 Inf Inf Inf 8.353386e+00 7.878807e+00 1.438538e+00 3894 1.283650e-02
7762 -3.464830e-04 3.908029e-03 1.575652e-01 1.714061e-01 2.212002e-01 4.675076e+00 1.894580e+00 2.396921e+00 4.983207e+01 2450 8.677946e-03
7831 -7.250580e-03 1.246076e-02 1.675940e-01 -1.663927e+00 4.513298e+00 3.292234e+01 -1.736765e+00 4.718421e+00 3.433821e+01 2436 1.103158e-02
