/n/home03/calmiller/DSMC_Simulations/6_10_20_fixed_collisions/flow_4.00000_gap_0.00100_len_0.04000_T1_2.00000_T2_2.00000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
500046 1.396927e-02 -1.568014e-02 1.269695e-01 1.408107e-01 -1.403621e-01 3.211479e-01 1.516076e+01 -1.490266e+01 2.320923e+01 11498 3.649326e-02
500135 -2.294763e-02 -6.394930e-03 1.226008e-01 -3.109361e-02 -8.494301e-03 1.270727e-01 -8.350979e+00 -2.152202e+00 4.584405e+00 9321 2.906067e-02
500939 2.811540e-03 -6.176412e-03 1.385987e-01 9.244492e-03 -4.574560e-02 3.583976e-01 1.025241e+00 -6.306274e+00 3.503007e+01 7731 2.379837e-02
751074 -2.215206e-02 1.206062e-03 6.583677e-02 -3.218523e-02 3.118072e-03 6.634704e-02 -2.418073e+01 4.608091e+00 1.229780e+00 11959 3.482009e-02
501112 1.087844e-02 6.054453e-03 1.601201e-01 1.805115e-01 1.057166e-01 1.319457e+00 5.316525e+00 3.123544e+00 3.633514e+01 3214 1.288786e-02
1501 2.069369e-03 -9.432520e-03 1.387752e-01 1.934550e-02 -2.951360e-02 2.089201e-01 7.788190e+00 -9.052680e+00 3.162177e+01 10420 3.000695e-02
1563 -2.175563e-02 -3.839423e-03 1.596256e-01 -3.615490e-02 -6.642250e-03 1.919897e-01 -1.514492e+01 -2.947971e+00 3.404004e+01 4297 1.392577e-02
501795 2.406447e-03 1.504906e-02 1.490282e-01 4.309101e-02 8.695371e-02 3.895672e-01 4.787190e+00 8.460732e+00 2.830326e+01 3826 1.368713e-02
376815 6.033565e-03 -8.369414e-03 1.321428e-01 6.742436e-02 -5.958946e-02 3.434691e-01 8.940004e+00 -7.458894e+00 3.077428e+01 5397 1.805834e-02
751938 1.175694e-02 -9.827552e-03 1.288578e-01 2.741766e-02 -2.040644e-02 1.562799e-01 1.050718e+01 -7.097646e+00 1.839823e+01 9739 3.530261e-02
126852 -4.261764e-03 1.701329e-02 1.807080e-01 -3.079429e-02 2.010831e-01 8.031496e-01 -1.265142e+00 8.776941e+00 2.967968e+01 11173 3.396903e-02
252018 6.304584e-03 -9.004638e-03 1.175911e-01 1.830413e-02 -2.914943e-02 1.456848e-01 8.288899e+00 -1.391538e+01 1.940622e+01 8348 2.630814e-02
627162 -1.406237e-02 -7.855032e-03 1.739270e-01 -3.029071e-02 -1.838165e-02 2.521219e-01 -4.716295e+00 -3.059256e+00 2.272509e+01 13188 4.103761e-02
627458 -8.763863e-03 -3.575549e-03 1.408107e-01 -5.320150e-02 -3.675600e-02 3.915711e-01 -4.958152e+00 -3.702125e+00 2.797872e+01 8566 2.707007e-02
502827 8.865059e-03 -1.246393e-02 2.151686e-01 6.927232e-02 -5.617276e-02 1.034200e+00 2.427746e+00 -1.756642e+00 3.291657e+01 5001 1.957848e-02
