r,z,n,t,tvar,vr,vz,vrvar,vzvar,vrvzcov,ncolls,ncollsvar,lfree,lfreevar
0.00015,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.0052499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.008749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.01575,23.0,0.0023705929684599515,5.686580075170915e-10,-0.10629902208921677,-1.3592070908271867,15.364449305858294,7.736390401089299,2.9180049193603637,670.0,44.0,3.0040810348351826e-5,7.969491851332149e-10
0.00015,0.01925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.02275,90.0,0.014564738083923561,0.00016631191137819835,0.8062524796032751,-0.321146956374192,65.6778165887354,83.87024165642114,52.553889794577316,4166.077777777778,1.3150547205061726e7,3.654942284691135e-5,1.2653308045245568e-9
0.00015,0.02625,326.0,0.008768566086551277,4.7547797426681915e-5,0.4905283043643658,-0.8372130540443548,35.04865436815373,47.28000614484496,9.12300435001459,2490.2883435582817,3.887844131581921e6,3.789938203180481e-5,1.9887885256455885e-9
0.00015,0.02975,1098.0,0.003904065319879932,1.8300577964792254e-5,-1.0337211982532408,0.3319786566199428,51.16364943485576,53.76656205059715,-5.031482287976549,1097.4426229508197,1.4534528532652513e6,4.0832497884487536e-5,2.449524495755709e-9
0.00015,0.03325,79115.0,0.00018314211023863605,9.008524370678775e-7,0.0003355342590001592,-4.893482108951968,10.441861906191432,63.02032868171197,0.14181189177519726,52.989812298552955,72897.60730314984,3.946865825025425e-5,2.2671445880829796e-9
0.00015,0.03675,129808.0,0.00021467155881114275,8.882080921277882e-7,NaN,6.221710663446618,NaN,87.88378564008595,NaN,61.78457414026868,71434.13418149344,4.375296948615667e-5,2.7009404402410937e-9
0.00015,0.04025,10355.0,0.0028304560731087242,2.0055776271853852e-5,-0.167957479833307,3.9773457878840577,51.282129988668906,78.7054051042592,0.6064784592406647,803.5493964268462,1.6156248385788212e6,4.3937270320946836e-5,2.6726032113120607e-9
0.00015,0.04375,6395.0,0.004231885417944237,1.7149159021189254e-5,0.24177886564386364,3.26599653147408,57.89426025242243,68.20641516735411,-0.7273415635687064,1200.1853010164193,1.379443649322642e6,4.35373925630591e-5,2.569545299859046e-9
0.00015,0.04725,6292.0,0.00617538370214431,2.0547336822135875e-5,-0.5833536603025454,3.1944672898999893,55.3452561470496,76.92051839070487,-2.306703044674203,1747.4548633184997,1.6423904202449431e6,4.3117157860373937e-5,2.6720252722968148e-9
0.00015,0.050749999999999997,6467.0,0.007289543161918445,2.7636019782722594e-5,0.1933134224985162,3.5762686555575502,55.714060800961896,76.00417748579166,1.9021935098381988,2059.207669707748,2.2059460841347706e6,4.4560404936289334e-5,2.832569798103894e-9
0.00015,0.05425,6534.0,0.008701045384335969,2.972664953299651e-5,-0.023325954941352374,5.194412597424443,58.822498796520485,86.12052261483942,3.5036905858210394,2455.6818181818176,2.3717954887511474e6,4.6495074798920104e-5,2.948105376316236e-9
0.00015,0.057749999999999996,8227.0,0.009757863924491504,3.810030591434019e-5,-0.11276866170588304,6.7201395928979455,61.188319754870356,99.09247286787797,-0.9532004312549447,2752.5078400388998,3.047379487084514e6,4.7338475663911227e-5,3.106096254384698e-9
0.00015,0.06125,9677.0,0.010296511601950564,3.514411735739425e-5,0.339924515824783,11.707920068375534,55.79481198977505,185.9570263078179,2.974017034416912,2906.101064379455,2.811732010660233e6,5.9879402197657e-5,4.531786630325114e-9
0.00015,0.06475,9579.0,0.010869718985780845,3.7023145701483045e-5,0.21977269947884237,22.03876962857322,40.125726999456816,533.0096171557085,4.671381852296346,3055.165779308908,2.9549506782276295e6,0.00012805796418677594,2.166493588722238e-8
0.00015,0.06824999999999999,4926.0,0.010796739324431275,3.800740396034269e-5,-0.045563016908645636,31.442245945082682,31.625154210592218,1026.2396237902005,-1.6904831170366161,3024.9112870483164,3.0438852335023223e6,0.00031798583937723765,1.2462948854547277e-7
0.00015,0.07175,1819.0,0.010708211511255982,3.530794648452114e-5,0.031963659176324676,34.51170903695122,21.301245470122346,1225.245922650256,0.7567092873760917,2973.705882352942,2.8095413324062983e6,0.0005170414959406941,2.76259083334254e-7
0.00015,0.07525,833.0,0.010960290334672258,3.681044692308819e-5,-0.012506703788387693,33.037949877286856,23.194258634941114,1141.6195370272449,0.24194796633394222,3019.2881152460986,2.971332183496209e6,0.0005893867990403477,4.174442979505542e-7
0.00015,0.07875,732.0,0.011633085052803705,3.965673693528137e-5,-0.12100981770684663,32.33700599028096,13.248783261950932,1106.2757411478242,-7.019733854864272,3178.6598360655744,3.193047882922376e6,0.0006491815783906733,4.844215017196007e-7
0.00015,0.08225,257.0,0.011336110283066508,3.346445555983322e-5,-0.38264060899847646,31.093462100475335,15.942167738992042,1028.6067930997208,-13.801063658310309,3064.035019455253,2.6616444073339514e6,0.0016934001994720123,6.666060069361784e-6
0.00015,0.08574999999999999,90.0,0.01134806157287299,4.146002300198477e-5,0.1683523618279365,31.506217418403327,21.17499321135766,1032.8394898977128,2.1123674607134255,3012.777777777777,3.3103528839506167e6,0.002743225128781114,1.3815614815273737e-5
0.00015,0.08925,35.0,0.011039739208367112,1.705921908418332e-5,0.3257226135004535,32.66134629934052,11.806363735148093,1106.2024212496704,10.750729452045064,2799.142857142857,1.2393541224489787e6,0.014226911271971942,0.0007671752114841332
0.00015,0.09275,16.0,0.015037923592701863,6.722677265085066e-5,-0.8674949541059693,35.87668805162218,18.718624996353977,1340.9206176473956,-43.926450873814204,3779.9375,5.131720683593751e6,0.03266708682665452,0.0005972084994232658
0.00015,0.09625,8.0,0.013273479809098222,2.484213576881048e-5,1.5200011886569764,39.55977146136084,8.293165567870101,1579.11405723343,64.27917346857781,3140.4999999999995,1.7411070000000002e6,0.05681522402240706,0.0008530116832478708
0.00015,0.09974999999999999,5.0,0.016467191780728044,3.474032091101409e-5,-1.621657551147782,27.905032780944875,4.228616965976109,802.8010723578241,-40.38990569252758,4022.8,2.56430696e6,0.036329253265260666,0.0018069031523463804
0.00015,0.10325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.10675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.11374999999999999,3.0,0.019567950879154444,3.901793549963548e-5,1.1252827641779488,36.75005897503088,5.114753353753947,1465.2822798275288,32.51604962367306,4237.666666666667,4.545019555555556e6,0.1356896208598974,0.008520502012394175
0.00015,0.11725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12075,1.0,0.015531745076084368,0.0,-0.5770505269269199,35.94189008065604,0.33298731062663595,1291.819462569961,-20.740286609792005,2569.0,0.0,0.16298500008416086,0.0
0.00015,0.12425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.12775,1.0,0.01186892202520233,0.0,-1.165967646715543,42.489971551686494,1.3594805531873815,1805.3976824631277,-49.541932139130274,2753.0,0.0,0.04566408240572509,0.0
0.00015,0.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.13475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.13824999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.14175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.14525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.14875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.15225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.15575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.15925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.16275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.16625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.16974999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00015,0.17325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
