/n/home03/calmiller/DSMC_Simulations/6_12_20_Yuiki_cell/flow_2.00000_gap_0.00000_len_0.00000_T1_4.00000_T2_4.00000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
18762 -9.749495e-03 1.097230e-02 9.570264e-02 -6.476772e-02 6.509701e-02 2.652060e-01 -1.760310e+01 1.731722e+01 5.423266e+01 757 2.020543e-03
37547 1.228331e-02 9.460673e-04 1.156332e-01 2.547551e-01 3.684070e-02 1.134184e+00 1.387170e+01 2.053516e+00 5.827085e+01 518 1.879843e-03
68803 -9.513103e-03 1.576135e-03 8.805776e-02 -9.699993e-02 1.468596e-02 2.939945e-01 -2.222625e+01 3.330586e+00 5.231875e+01 2414 4.892077e-03
87554 4.755062e-04 2.707099e-03 1.524831e-01 5.903426e-03 5.151892e-02 7.082186e-01 5.155422e-01 4.636133e+00 5.278360e+01 729 3.122328e-03
25062 1.534767e-02 -8.359145e-03 1.575902e-01 2.477212e-01 -1.017647e-01 1.510317e+00 1.211178e+01 -4.868485e+00 7.050687e+01 623 2.517360e-03
62581 -4.813418e-04 2.375233e-02 1.776008e-01 2.762162e-02 4.491851e-01 1.978517e+00 9.122653e-01 1.381020e+01 5.846051e+01 946 3.682522e-03
87586 -1.288580e-02 1.036870e-02 1.525624e-01 -1.543229e-01 1.188589e-01 9.897299e-01 -1.170556e+01 8.978829e+00 6.928536e+01 1489 3.928417e-03
56385 1.140430e-03 -2.217289e-03 8.500435e-02 2.933038e-02 -1.917669e-02 2.281963e-01 1.125814e+01 -6.773032e+00 5.718619e+01 1290 2.747952e-03
25139 -1.155344e-02 -2.534634e-03 1.456739e-01 -1.456192e-01 -6.332842e-03 1.286394e+00 -5.532418e+00 -1.567386e-01 4.707350e+01 1973 5.458081e-03
50165 -1.953945e-02 8.279511e-03 1.591769e-01 -1.250094e-01 3.885512e-02 7.020575e-01 -9.234936e+00 2.677198e+00 4.753457e+01 3351 7.828331e-03
68925 -1.846863e-03 -1.134353e-02 1.444110e-01 -8.402211e-02 -2.272091e-01 1.572827e+00 -3.471721e+00 -9.119836e+00 6.034740e+01 1816 4.737106e-03
37686 2.662018e-02 6.085988e-03 1.125414e-01 3.296428e-02 7.620742e-03 1.238839e-01 2.532524e+01 6.126635e+00 4.527866e+01 1168 3.150698e-03
379 -3.797914e-03 3.947140e-03 8.026268e-02 -3.396125e-02 5.669447e-02 2.593333e-01 -1.030952e+01 1.802850e+01 6.120450e+01 400 1.026636e-03
93956 1.946724e-02 -8.872149e-03 2.260539e-01 8.655304e-01 -4.728202e-01 6.767565e+00 7.904586e+00 -4.334566e+00 6.111593e+01 821 4.295721e-03
81477 -3.379916e-04 4.328202e-03 9.014328e-02 2.744635e-03 3.608946e-02 2.381122e-01 1.176694e+00 1.212384e+01 5.648238e+01 435 1.265039e-03
37730 -1.650345e-02 6.065772e-03 1.006819e-01 -1.261437e-01 4.781340e-02 3.646699e-01 -1.433218e+01 5.457254e+00 3.450854e+01 723 2.588889e-03
25242 7.130887e-03 2.204191e-02 1.379316e-01 2.882527e-02 6.633381e-02 2.922630e-01 6.929013e+00 1.414648e+01 4.929223e+01 2685 6.454946e-03
486 1.725353e-02 1.378650e-02 1.117595e-01 4.886680e-02 4.179460e-02 1.932145e-01 2.191252e+01 1.941362e+01 5.645998e+01 1813 4.256330e-03
81504 -5.478184e-03 -2.229283e-02 2.192454e-01 -1.563371e-02 -6.276692e-02 5.421790e-01 -1.762555e+00 -7.024534e+00 5.604717e+01 1242 5.123262e-03
87751 -8.638840e-03 -1.592163e-02 1.702484e-01 -5.504053e-02 -1.155091e-01 8.228103e-01 -5.148404e+00 -1.104953e+01 7.240365e+01 1065 3.705441e-03
94013 -5.615310e-03 -1.907648e-03 9.827868e-02 -4.177695e-02 -2.687039e-02 3.071232e-01 -9.923953e+00 -6.850603e+00 5.731386e+01 761 2.162818e-03
75295 8.471888e-03 2.707513e-02 1.501126e-01 1.050913e-01 3.797950e-01 1.151610e+00 4.973952e+00 1.815796e+01 5.155688e+01 227 2.136657e-03
603 -8.544273e-03 -5.121860e-03 1.003740e-01 -1.401529e-01 -6.984506e-02 5.959208e-01 -1.551597e+01 -7.630528e+00 5.842239e+01 297 1.298289e-03
87821 -5.366577e-03 -1.080248e-02 1.070993e-01 -2.234677e-02 -5.049221e-02 2.362541e-01 -7.115246e+00 -1.663127e+01 5.412001e+01 1134 2.902606e-03
87826 -2.156882e-03 -3.800425e-03 9.170281e-02 -1.641939e-02 -5.497074e-02 3.796244e-01 -3.063853e+00 -1.099234e+01 6.185092e+01 1487 3.240448e-03
44095 5.904828e-03 2.476723e-03 1.970427e-01 6.641981e-02 8.025574e-03 1.227562e+00 3.064842e+00 2.810271e-01 5.219170e+01 1035 4.548653e-03
44109 -7.318410e-03 -2.511852e-03 1.069877e-01 -1.165252e-01 -1.420959e-02 6.747308e-01 -1.107201e+01 -1.185984e+00 5.756108e+01 630 1.890048e-03
6606 -8.148265e-03 -1.524658e-02 1.989760e-01 -5.892989e-02 -1.230450e-01 1.181832e+00 -2.790289e+00 -5.923180e+00 5.400483e+01 206 2.970311e-03
69122 1.180088e-02 4.034337e-03 9.335189e-02 5.528338e-01 1.148617e-01 1.225041e+00 2.454866e+01 5.028648e+00 5.134893e+01 1362 3.079548e-03
87862 -2.582075e-02 -7.109277e-03 1.204508e-01 -3.320257e-02 -9.629670e-03 1.345956e-01 -1.704103e+01 -5.818356e+00 3.265330e+01 323 2.375705e-03
87873 -6.338566e-03 -1.538848e-02 1.030736e-01 -1.282734e-02 -2.747569e-02 1.326202e-01 -1.074879e+01 -2.002269e+01 4.894453e+01 529 1.810565e-03
804 -6.697866e-03 -6.844960e-03 1.093443e-01 -3.856971e-02 -4.031258e-02 3.467257e-01 -6.904338e+00 -7.250029e+00 5.142349e+01 194 1.300763e-03
50423 8.326947e-03 -9.574247e-03 1.157931e-01 1.074280e-01 -1.524175e-01 7.028330e-01 6.521515e+00 -9.400040e+00 3.863116e+01 3988 8.681902e-03
56671 -4.648129e-03 -4.821248e-04 7.921571e-02 -3.070110e-02 -4.117193e-03 1.496012e-01 -2.070356e+01 -2.888685e+00 5.593335e+01 457 1.085760e-03
37928 3.348317e-03 7.582306e-03 1.027551e-01 4.332514e-02 6.047046e-02 3.588744e-01 6.695059e+00 8.857365e+00 4.289320e+01 1101 2.846252e-03
31677 -1.468273e-02 -1.653342e-03 9.347411e-02 -7.896673e-02 -8.936327e-03 2.198599e-01 -2.840120e+01 -3.217682e+00 5.583829e+01 585 1.594919e-03
855 2.046469e-02 -1.430889e-02 1.485556e-01 1.196113e-01 -9.008116e-02 5.218830e-01 1.473134e+01 -1.125834e+01 5.546946e+01 614 2.909751e-03
19213 -1.874404e-03 -1.181588e-02 9.549097e-02 -5.053698e-03 -5.343597e-02 1.941523e-01 -2.212875e+00 -2.896871e+01 6.867099e+01 1352 3.004478e-03
6721 1.042141e-02 -6.969673e-03 1.118283e-01 2.263340e-01 -9.486623e-02 1.062041e+00 1.316991e+01 -5.361381e+00 5.795962e+01 1257 3.180369e-03
69249 7.891939e-03 -4.551265e-03 1.135287e-01 6.292616e-02 -2.956522e-02 5.854649e-01 5.901796e+00 -2.682463e+00 5.060980e+01 2143 4.940650e-03
31746 7.054118e-03 4.835985e-03 1.028900e-01 6.991349e-02 5.257843e-02 3.967445e-01 1.264197e+01 9.601730e+00 5.909861e+01 717 2.034072e-03
31758 8.685584e-03 1.007661e-02 9.397707e-02 5.465737e-02 6.490873e-02 2.498889e-01 1.301582e+01 1.552441e+01 4.414271e+01 757 2.004657e-03
50523 -1.299381e-04 -2.535918e-02 1.343482e-01 2.501365e-03 -1.658895e-01 5.307413e-01 3.604317e-01 -1.924963e+01 5.429730e+01 1329 3.736179e-03
50537 -5.631867e-03 -5.912382e-03 8.860088e-02 -6.003954e-02 -7.297751e-02 3.600742e-01 -1.138480e+01 -1.403336e+01 5.680573e+01 997 2.188721e-03
69310 -8.662557e-03 2.688404e-03 1.033227e-01 -9.103986e-02 2.358000e-02 5.060506e-01 -1.084786e+01 2.751112e+00 5.303326e+01 1143 3.026685e-03
1103 2.281847e-04 -1.135361e-02 1.186163e-01 -1.002810e-02 -1.850535e-01 1.027309e+00 -7.055416e-01 -1.194902e+01 6.251002e+01 485 1.873581e-03
1125 -5.463897e-03 1.121869e-02 1.311626e-01 -2.137679e-02 4.321212e-02 3.335679e-01 -4.228844e+00 8.502241e+00 5.378913e+01 1094 3.196447e-03
1195 5.699101e-03 1.179663e-03 1.202052e-01 3.432355e-02 1.121269e-02 3.566419e-01 6.798266e+00 2.382829e+00 5.615337e+01 340 1.654399e-03
44387 5.905318e-03 -6.212577e-03 1.078707e-01 3.234723e-02 -4.927407e-02 4.258573e-01 5.283823e+00 -8.604873e+00 6.354249e+01 857 2.290369e-03
94384 5.093364e-03 -2.889402e-02 3.030612e-01 3.383747e-02 -1.656406e-01 1.577555e+00 1.479610e+00 -7.039063e+00 6.560484e+01 575 4.751728e-03
81891 1.263220e-02 -1.183152e-02 1.220454e-01 1.519208e-01 -1.568080e-01 8.944719e-01 7.640451e+00 -7.952446e+00 4.237019e+01 245 1.883551e-03
94407 3.711823e-03 -2.061030e-03 8.264920e-02 3.557221e-02 -1.814722e-02 2.611692e-01 9.485459e+00 -4.789172e+00 5.314889e+01 653 1.566347e-03
6901 -2.104263e-02 1.815185e-02 1.673530e-01 -7.369851e-02 2.270536e-02 3.615356e-01 -1.009499e+01 8.729825e-01 3.722798e+01 659 4.310067e-03
69431 5.380789e-03 -9.150099e-03 1.329737e-01 5.757747e-02 -7.709039e-02 7.110889e-01 4.932734e+00 -6.420549e+00 5.463352e+01 333 1.942953e-03
63168 1.290686e-02 -2.347328e-02 1.346463e-01 4.893139e-02 -9.116975e-02 3.222681e-01 1.037695e+01 -1.950013e+01 5.404492e+01 1354 3.807188e-03
13164 3.123083e-03 -2.247810e-02 1.310561e-01 7.137781e-02 -5.440363e-01 1.515361e+00 2.703196e+00 -2.065606e+01 5.482472e+01 760 2.726253e-03
