/n/home03/calmiller/DSMC_Simulations/6_12_20_Yuiki_cell/flow_30.00000_gap_0.00000_len_0.00000_T1_4.00000_T2_4.00000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
56251 6.863120e-03 1.962938e-03 9.567975e-02 3.607786e-02 7.916075e-03 2.160177e-01 3.266112e+01 6.655412e+00 1.345339e+02 18850 4.007895e-03
31251 1.613492e-02 -1.017796e-02 2.868218e-01 5.016264e-02 -3.257288e-02 8.591757e-01 8.081141e+00 -5.318503e+00 1.359266e+02 25690 6.890830e-03
43752 -3.621469e-03 7.103135e-03 1.504748e-01 -1.247725e-02 2.776791e-02 3.434583e-01 -6.017281e+00 1.404120e+01 1.311275e+02 5173 1.691354e-03
75002 8.277474e-03 8.931049e-03 2.413627e-01 1.743783e-02 2.225158e-02 4.663298e-01 5.753993e+00 8.367165e+00 1.413109e+02 9646 3.127072e-03
93752 -1.372398e-03 -1.128392e-02 1.247871e-01 -2.192104e-03 -3.104830e-02 2.264464e-01 -1.171594e+00 -2.824893e+01 1.453002e+02 13152 3.007148e-03
31252 1.132817e-02 -1.416988e-02 1.005083e-01 3.428070e-02 -4.634130e-02 1.729997e-01 3.315222e+01 -4.646781e+01 1.047053e+02 15575 3.419722e-03
12502 5.157596e-03 -1.285172e-02 1.196678e-01 3.346897e-02 -1.049986e-01 4.714320e-01 1.116510e+01 -3.633979e+01 1.387245e+02 15882 3.505852e-03
81257 -3.448166e-03 -1.245425e-02 1.266821e-01 -6.636361e-02 -2.076204e-01 1.075607e+00 -9.302730e+00 -2.885743e+01 1.403088e+02 2266 9.035005e-04
18752 3.113629e-03 -1.075046e-02 1.711463e-01 9.719125e-03 -4.272814e-02 5.040675e-01 2.726547e+00 -1.319941e+01 1.374197e+02 28398 6.363575e-03
25004 -1.544942e-02 1.317039e-02 3.289501e-01 -8.544252e-02 7.709618e-02 1.560244e+00 -7.859929e+00 7.178595e+00 1.382691e+02 33894 8.602233e-03
62505 -5.084673e-03 -2.641630e-02 1.897775e-01 -4.127385e-02 -1.973953e-01 9.973420e-01 -6.148276e+00 -2.904809e+01 1.371993e+02 26184 6.119209e-03
87503 -5.406187e-03 1.293464e-03 1.184764e-01 -2.906037e-02 8.468378e-03 3.283551e-01 -1.604954e+01 4.868233e+00 1.424043e+02 24646 5.331661e-03
12503 -1.552332e-02 6.941452e-03 1.347000e-01 -6.403327e-02 2.566751e-02 3.406294e-01 -2.924100e+01 1.128776e+01 1.241308e+02 20428 4.524589e-03
