/n/home03/calmiller/DSMC_Simulations/7_8_20_opaque_mesh/flow_4.00000_gap_0.00400_len_0.04000_T1_2.00000_T2_2.00000/data
running....
idx x y z xnext ynext znext vx vy vz collides time
500033 2.197341e-02 -1.574764e-02 6.736667e-02 2.860309e-02 -2.612761e-02 6.168698e-02 1.987390e+01 -3.111621e+01 -3.376467e+00 974 4.977274e-03
437579 1.401871e-03 -2.313635e-02 6.745583e-02 9.829689e-03 -5.004273e-02 7.012578e-02 1.589288e+01 -5.073907e+01 5.034908e+00 1576 7.049168e-03
187755 6.066523e-04 2.826375e-02 6.651996e-02 3.887453e-04 3.525077e-02 6.851668e-02 -6.691938e-01 2.145718e+01 6.131926e+00 1472 6.902169e-03
438196 2.893685e-02 5.906838e-03 6.716729e-02 4.959267e-02 1.126054e-02 6.896926e-02 3.138517e+01 8.134595e+00 2.737976e+00 2722 1.088638e-02
875713 -2.841234e-02 7.410489e-03 6.346507e-02 -3.504897e-02 9.509777e-03 6.267999e-02 -4.524963e+01 1.431331e+01 -5.352849e+00 2688 1.104624e-02
938361 2.040452e-02 -1.375402e-02 6.594149e-02 3.678186e-02 -2.733425e-02 6.644162e-02 3.341247e+01 -2.770591e+01 1.020363e+00 2576 1.070327e-02
438558 -2.597242e-02 1.329482e-02 6.766307e-02 -4.147911e-02 2.039548e-02 6.894595e-02 -3.835526e+01 1.756324e+01 3.173140e+00 2760 1.080682e-02
813700 3.457894e-03 6.050758e-03 1.140196e-01 2.788447e-02 2.922266e-02 1.608996e-01 1.549124e+01 1.469552e+01 2.973113e+01 4828 1.913375e-02
63699 5.730765e-03 2.640660e-02 6.591595e-02 7.529992e-03 3.531635e-02 6.630789e-02 4.780201e+00 2.367151e+01 1.041289e+00 6796 2.627855e-02
126498 2.231067e-02 -1.218512e-02 7.083597e-02 8.355844e-02 -3.130866e-02 1.108099e-01 3.345819e+01 -1.044673e+01 2.183679e+01 1335 5.619812e-03
501642 -2.124724e-02 -1.916380e-02 6.743652e-02 -2.522555e-02 -2.080475e-02 6.728824e-02 -2.138198e+01 -8.819518e+00 -7.969474e-01 3271 1.396163e-02
314152 -1.736478e-02 -2.205348e-02 7.003507e-02 -2.053028e-02 -2.565092e-02 7.150921e-02 -2.147446e+01 -2.440475e+01 1.000047e+01 3171 1.549770e-02
626766 1.051584e-02 -1.981519e-02 6.584550e-02 1.483423e-02 -2.714439e-02 6.585176e-02 1.462272e+01 -2.481774e+01 2.119274e-02 3826 1.545777e-02
502425 -2.406053e-02 -8.703988e-03 6.662393e-02 -6.864937e-02 -2.243824e-02 6.728977e-02 -4.144282e+01 -1.276522e+01 6.188552e-01 3103 1.320996e-02
815114 2.770397e-02 1.040709e-02 6.887057e-02 9.708513e-02 4.871972e-02 8.668868e-02 2.931220e+01 1.618634e+01 7.527806e+00 944 4.509304e-03
3907 -2.323073e-02 1.086543e-04 6.818132e-02 -2.989586e-02 5.119179e-03 6.654778e-02 -1.534920e+01 1.153880e+01 -3.761896e+00 3026 1.178793e-02
878348 -1.828203e-04 -1.010282e-02 1.473967e-01 -8.958752e-02 -4.861316e-01 1.965088e+00 -2.225780e+00 -1.185100e+01 4.525245e+01 2882 1.513605e-02
753231 -2.344597e-02 4.854541e-03 6.805193e-02 -3.689907e-02 4.690829e-03 6.546252e-02 -3.521459e+01 -4.285287e-01 -6.778005e+00 3585 1.538779e-02
4760 2.016920e-02 1.731997e-02 6.820605e-02 2.819842e-02 2.717471e-02 6.861675e-02 1.816070e+01 2.228970e+01 9.289240e-01 3498 1.376826e-02
66246 -2.743173e-02 7.522487e-03 6.866457e-02 -3.486114e-02 7.586390e-03 6.928667e-02 -3.447381e+01 2.965233e-01 2.886673e+00 1762 8.820672e-03
753707 2.877425e-02 -5.705644e-03 7.001936e-02 5.216699e-02 -1.425301e-02 7.576944e-02 2.653020e+01 -9.693750e+00 6.521289e+00 2112 8.361282e-03
253775 2.889933e-02 -3.523707e-03 1.501205e-01 1.345251e+00 -2.634182e-01 2.149644e+00 1.856078e+01 -3.664557e+00 2.819362e+01 1992 9.808207e-03
129009 1.017691e-02 2.598078e-02 6.639153e-02 1.544826e-02 3.299682e-02 6.615073e-02 1.879156e+01 2.501113e+01 -8.584119e-01 3519 1.452312e-02
66745 1.873874e-02 -1.519679e-02 6.898892e-02 3.172173e-02 -2.007345e-02 7.676004e-02 2.890205e+01 -1.085616e+01 1.729965e+01 2415 1.092831e-02
941879 2.362730e-02 -6.547182e-03 6.917670e-02 5.337535e-02 -6.963999e-03 7.470660e-02 3.090214e+01 -4.329880e-01 5.744437e+00 2109 1.020515e-02
6111 -2.232373e-02 -1.810450e-02 6.616771e-02 -4.270513e-02 -2.802002e-02 6.128837e-02 -4.231320e+01 -2.058532e+01 -5.655045e+00 679 3.155716e-03
379500 1.477879e-02 -1.795086e-02 6.758232e-02 2.103513e-02 -2.378557e-02 6.660933e-02 3.534087e+01 -3.295918e+01 -5.496197e+00 1958 9.746037e-03
129512 1.682351e-02 -2.109843e-02 6.587344e-02 3.182719e-02 -3.752539e-02 5.941635e-02 2.350574e+01 -2.573554e+01 -7.661326e+00 2784 1.158273e-02
6774 1.583089e-02 2.239318e-02 6.649341e-02 4.897085e-02 7.849845e-02 7.437743e-02 2.698900e+01 4.569183e+01 6.420702e+00 928 5.509339e-03
817601 -2.610804e-02 8.971716e-03 6.693445e-02 -4.104564e-02 1.282771e-02 7.081031e-02 -2.470236e+01 6.376668e+00 6.409523e+00 7463 2.886313e-02
67648 -1.085433e-02 -2.552868e-02 7.047352e-02 -2.551444e-02 -4.115215e-02 7.944780e-02 -2.325690e+01 -2.478518e+01 1.423687e+01 1254 6.021127e-03
67667 -8.436395e-03 2.829488e-02 6.829847e-02 -1.102539e-02 3.753415e-02 6.722066e-02 -9.678674e+00 3.454004e+01 -4.029293e+00 5179 2.133818e-02
129977 -1.895315e-02 9.018762e-03 6.651151e-02 -2.784932e-02 1.200848e-02 6.589820e-02 -4.289652e+01 1.441616e+01 -2.957302e+00 3915 1.517288e-02
567919 2.520886e-02 -1.469774e-03 6.883165e-02 3.820740e-02 -4.477425e-03 7.225421e-02 2.422270e+01 -5.604741e+00 6.377911e+00 2007 1.004028e-02
630273 -1.311670e-02 -2.024018e-02 6.904609e-02 -1.528521e-02 -2.782414e-02 6.899800e-02 -1.036063e+01 -3.623435e+01 -2.297755e-01 1602 6.238659e-03
